Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,0.12,0.6,0.75,1,1.27,1.73,2.16,0.07
Cash & Cash Equivalents,0.12,0.6,0.75,1,1.27,1.73,2.16,0.07
Cash Growth,-90.72%,-65.43%,-65.14%,1400.12%,-,-,-,-
Other Current Assets,0.26,0.4,0.54,0.57,0.58,0.99,1.14,-
Total Current Assets,0.38,1,1.3,1.57,1.85,2.72,3.29,-
Long-Term Investments,76.12,75.54,74.44,185.04,185.02,185.02,184.99,-
Other Long-Term Assets,0,0,0,0.12,0.26,0,0,-
Total Long-Term Assets,76.12,75.54,74.44,185.16,185.28,185.02,184.99,-
Total Assets,76.5,76.54,75.74,186.73,187.13,187.74,188.29,0.13
Accounts Payable,0.24,0.16,0,0,0.06,0,0.03,0
Current Debt,0.01,0.04,0.11,0.11,0.11,0.12,0.26,0.1
Other Current Liabilities,2.52,1.46,1.23,0.47,0.27,0.23,0.04,0.02
Total Current Liabilities,2.76,1.66,1.34,0.58,0.44,0.35,0.33,0.12
Other Long-Term Liabilities,6.64,6.94,7.86,8.48,16.31,17.92,19.64,0
Total Long-Term Liabilities,6.64,6.94,7.86,8.48,16.31,17.92,19.64,0
Total Liabilities,9.4,8.59,9.2,9.06,16.75,18.27,19.97,0.12
Total Debt,0.01,0.04,0.11,0.11,0.11,0.12,0.26,0.1
Debt Growth,-92.76%,-67.79%,-58.02%,7.80%,-,-,-,-
Common Stock,0,0,0,0,0,0,5.49,0.03
Retained Earnings,-9.02,-7.59,-7.9,-7.33,-14.62,-15.54,-0.49,-0.01
Shareholders' Equity,-9.02,-7.59,-7.9,-7.33,-14.62,-15.53,5,0.01
Total Liabilities and Equity,0.38,1,1.3,1.73,2.13,2.74,24.97,0.13
Net Cash / Debt,0.11,0.56,0.64,0.89,1.16,1.62,1.9,-0.03
Net Cash / Debt Growth,-90.53%,-65.26%,-66.11%,-,-,-,-,-
Net Cash Per Share,0.01,0.05,0.03,0.04,0.07,0.07,0.29,-0.01
Working Capital,-2.39,-0.66,-0.04,0.99,1.4,2.37,2.97,-
Book Value Per Share,-0.53,-0.63,-0.37,-0.32,-0.94,-0.67,0.75,0.00
