Metrics,2022-09-30,2022-06-30,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,4.48,7.13,8.04,0.72,0.83,0.9,8.3
Short-Term Investments,-,12.8,18.12,0,0,0,0
Cash & Cash Equivalents,4.48,19.94,26.16,0.72,0.83,0.9,8.3
Cash Growth,438.51%,2125.35%,215.31%,-,-,-,-
Receivables,18.56,8.86,20.02,0,0,0,0
Other Current Assets,-,0.13,18.58,0.2,0.34,0.48,29.06
Total Current Assets,-,28.93,64.76,0.91,1.17,1.37,37.36
"Property, Plant & Equipment",9.09,3.47,1.22,0,0,0,0
Long-Term Investments,-,134.41,125.9,345.02,345.02,345.01,12.15
Goodwill and Intangibles,45.71,0,37.67,0,0,0,39.66
Other Long-Term Assets,-,0.57,-37.79,0,0,0,-51.69
Total Long-Term Assets,-,138.45,127,345.02,345.02,345.01,0.13
Total Assets,87.02,167.38,75.06,345.94,346.19,346.38,0.13
Accounts Payable,7.29,3.47,4.44,0,0,0,0
Current Debt,-,10.15,9,0,0,0,0
Other Current Liabilities,-,2.44,8.59,0,0.02,0.01,0.11
Total Current Liabilities,-,16.06,22.03,0,0.02,0.01,0.11
Long-Term Debt,-,35.68,33.41,0,0,0,0
Other Long-Term Liabilities,-,2.5,2.21,36.14,30.51,39.95,0
Total Long-Term Liabilities,-,38.18,35.62,36.14,30.51,39.95,0
Total Liabilities,57.37,54.24,35.04,36.14,30.53,39.96,1.6
Total Debt,30.57,45.83,11.7,0,0,0,0
Common Stock,30.82,113.15,74.32,0,0.66,9.91,60.8
Retained Earnings,-,-,-34.73,-35.23,4.34,-4.91,-0.01
Comprehensive Income,-1.52,0,0,0,0,0,0
Shareholders' Equity,29.3,113.15,39.59,-35.22,5,5,60.79
Total Liabilities and Equity,86.67,167.38,74.62,0.91,35.53,44.96,62.39
Net Cash / Debt,-26.09,-25.89,14.47,0.72,0.83,0.9,8.3
Net Cash / Debt Growth,-,-,74.35%,-,-,-,-
Net Cash Per Share,-,-,0.34,0.02,0.02,0.09,1.33
Working Capital,-,12.87,42.73,0.91,1.15,1.36,37.25
Book Value Per Share,0.27,2.62,0.92,-0.82,0.12,0.52,9.73
