Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-30,2021-01-31,2020-09-30,2020-07-20
Cash & Equivalents,3.92,11.93,28.11,37.04,99.5,209.84,282.28,-,0.5,0,0.06,0.05
Short-Term Investments,26.71,27.35,32.66,0.79,0.19,0,0,-,0,0,-,-
Cash & Cash Equivalents,30.63,39.28,60.77,37.83,99.69,209.84,282.28,0,0.5,0,0.06,0.05
Cash Growth,-69.28%,-81.28%,-78.47%,-,19959.40%,-,456547.38%,-,-,-,-,-
Receivables,1.57,1.2,0.73,0.47,0,0,0,-,0,0,0,0
Other Current Assets,4.28,7.25,8.28,9.55,11.4,13.82,15.35,-,0.02,0,-,-
Total Current Assets,36.48,47.74,69.77,47.85,111.09,223.66,297.63,-,0.52,0,-,-
"Property, Plant & Equipment",267.89,196.87,46.05,29.15,20.9,5.12,0.13,-,0,0,0,0
Long-Term Investments,89.43,83.11,80.18,56.83,7.37,0,0,-,0,0,-,-
Other Long-Term Assets,18.89,90.75,211.49,208.12,218.53,125.38,83.9,-,2.29,0.17,-,-
Total Long-Term Assets,376.21,370.73,337.72,294.1,246.8,130.51,84.03,-,2.29,0.17,-,-
Total Assets,412.69,418.46,407.49,341.95,357.88,354.17,381.66,-,2.81,0.17,0.28,0.09
Accounts Payable,12.22,17.37,7.88,16.78,5.85,0.24,0.13,-,0.05,0,0,0
Current Debt,3.7,3.6,1,0.98,0.56,0,0,-,0.9,0,0.14,0.05
Other Current Liabilities,17.39,19.36,10.73,5.81,3.61,0.26,1.28,-,2.13,0.17,0.13,0.02
Total Current Liabilities,33.3,40.33,19.61,23.56,10.02,0.5,1.41,-,3.08,0.18,0.26,0.07
Long-Term Debt,15.76,16.72,4.76,5.02,5.28,0,0,-,0,0,0,0
Other Long-Term Liabilities,19,18.52,0.02,0.03,0.09,0.14,0.27,-,0,0,0,0
Total Long-Term Liabilities,34.76,35.25,4.78,5.05,5.37,0.14,0.27,-,0,0,0,0
Total Liabilities,68.07,75.57,24.39,28.61,15.39,0.64,1.68,-,3.08,0.18,0.26,0.07
Total Debt,19.46,20.32,5.76,6,5.83,0,0,-,0.9,0,0.14,0.05
Debt Growth,233.55%,-,-,-,548.11%,-,-,-,-,-,-,-
Common Stock,462.43,454.1,442.68,432.21,432.15,425.69,383.06,-,0,0,0.03,0.03
Retained Earnings,-117.81,-111.21,-59.58,-118.87,-89.66,-72.16,-3.09,-,-0.27,-0,-0,-0
Shareholders' Equity,344.62,342.89,383.1,313.34,342.49,353.53,379.98,-,-0.27,-0,0.02,0.02
Total Liabilities and Equity,412.69,418.46,407.49,341.95,357.88,354.17,381.66,-,2.81,0.17,0.28,0.09
Net Cash / Debt,11.17,18.96,55,31.83,93.85,209.84,282.28,0,-0.4,0,-0.07,-0
Net Cash / Debt Growth,-88.10%,-90.96%,-80.51%,-,-,-,-,-,-,-,-,-
Net Cash Per Share,0.04,0.08,0.22,0.13,0.38,0.96,1.30,-,-0.00,-,-0.02,-0.00
Working Capital,3.18,7.41,50.17,24.29,101.06,223.16,296.22,-,-2.56,-0.18,-,-
Book Value Per Share,1.39,1.39,1.55,1.26,1.37,1.62,1.75,-,-0.00,-,0.01,0.01
