Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-28
Cash & Equivalents,1.96,0.05,0.13,0.63,0.98,1.52,1.71,1.93,2.91,0.03
Cash & Cash Equivalents,1.96,0.05,0.13,0.63,0.98,1.52,1.71,1.93,2.91,0.03
Cash Growth,100.94%,-96.46%,-92.64%,-67.57%,-66.37%,5996.72%,-,-,-,-
Other Current Assets,0,0.09,0.22,0.29,0.39,0.46,0.55,0.65,0.03,-
Total Current Assets,1.96,0.14,0.35,0.92,1.36,1.98,2.26,2.58,2.93,-
Long-Term Investments,64.99,340.05,337.98,336.79,336.1,336.04,336.03,336.02,336.02,-
Total Long-Term Assets,64.99,340.05,337.98,336.79,336.1,336.04,336.03,336.02,336.02,-
Total Assets,66.96,340.19,338.32,337.7,337.47,338.02,338.29,338.6,338.95,0.09
Accounts Payable,0,0,0,0,0,0,0,0.02,0.13,0
Other Current Liabilities,4.05,2.42,1.99,1.75,1.42,1.07,0.78,0.41,0.01,0.07
Total Current Liabilities,4.05,2.42,1.99,1.75,1.42,1.07,0.78,0.43,0.15,0.07
Other Long-Term Liabilities,12.89,12.02,12.28,13.66,15.91,18.85,20.84,22.88,18.34,0
Total Long-Term Liabilities,12.89,12.02,12.28,13.66,15.91,18.85,20.84,22.88,18.34,0
Total Liabilities,16.93,14.44,14.26,15.41,17.33,19.92,21.62,23.3,18.48,0.07
Common Stock,0,0,0,0,0,0,0,9.9,4.73,0.03
Retained Earnings,-14.94,-13.8,-13.54,-14.09,-15.88,-17.91,-19.35,-4.9,0.27,-0
Shareholders' Equity,-14.94,-13.8,-13.54,-14.09,-15.88,-17.91,-19.35,5,5,0.02
Total Liabilities and Equity,1.99,0.64,0.72,1.33,1.45,2.01,2.27,28.3,23.48,0.09
Net Cash / Debt,1.96,0.05,0.13,0.63,0.98,1.52,1.71,1.93,2.91,0.03
Net Cash / Debt Growth,100.94%,-96.46%,-92.64%,-67.57%,-66.37%,5996.72%,-,-,-,-
Net Cash Per Share,0.05,0.00,0.00,0.01,0.02,0.04,0.04,0.04,0.25,0.00
Working Capital,-2.08,-2.28,-1.64,-0.83,-0.05,0.92,1.48,2.15,2.78,-
Book Value Per Share,-0.41,-0.32,-0.32,-0.33,-0.37,-0.42,-0.45,0.12,0.42,0.00
