Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0.05,0.06,0.04,0.12,0.58,0.01
Cash & Cash Equivalents,0.05,0.06,0.04,0.12,0.58,0.01
Cash Growth,-90.56%,676.59%,-,-,-,-
Receivables,0.03,0.03,0.03,0.03,0.03,0.01
Other Current Assets,0.01,0.01,0.05,0.06,0.08,-
Total Current Assets,0.09,0.09,0.11,0.2,0.68,-
Long-Term Investments,24.6,234.76,233.79,233.47,233.45,-
Total Long-Term Assets,24.6,234.76,233.79,233.47,233.45,-
Total Assets,24.69,234.85,233.9,233.67,234.13,0.24
Accounts Payable,0.56,0.03,0.02,0.03,0,0
Current Debt,0.3,0.03,0.03,0,0.15,0.12
Other Current Liabilities,0.46,0.06,0.04,0,0.11,0.1
Total Current Liabilities,1.31,0.12,0.09,0.03,0.27,0.22
Other Long-Term Liabilities,8.05,8.05,8.05,8.05,8.05,0
Total Long-Term Liabilities,8.05,8.05,8.05,8.05,8.05,0
Total Liabilities,9.36,8.17,8.14,8.08,8.32,0.22
Total Debt,0.3,0.03,0.03,0,0.15,0.12
Debt Growth,92.25%,-74.18%,-,-,-,-
Common Stock,0,0,0,0,0,0.03
Retained Earnings,-7.69,-7.88,-7.84,-7.86,-7.63,0
Shareholders' Equity,-7.69,-7.88,-7.84,-7.86,-7.63,0.03
Total Liabilities and Equity,1.67,0.29,0.31,0.22,0.68,0.24
Net Cash / Debt,-0.24,0.03,0.01,0.12,0.42,-0.11
Net Cash Per Share,-0.01,0.00,0.00,0.02,0.06,-0.02
Working Capital,-1.22,-0.03,0.01,0.17,0.42,-
Book Value Per Share,-0.28,-0.27,-0.27,-1.37,-1.17,0.01
