Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-22
Cash & Equivalents,0.57,1.05,1.19,1.26,1.47,1.66,1.73,1.82,1.63,0
Cash & Cash Equivalents,0.57,1.05,1.19,1.26,1.47,1.66,1.73,1.82,1.63,0
Cash Growth,-61.35%,-36.59%,-31.05%,-30.53%,-9.75%,-,-,-,-,-
Other Current Assets,0.18,0.13,0.28,0.44,0.58,0.57,0.84,0.99,1.15,0.01
Total Current Assets,0.75,1.19,1.47,1.7,2.05,2.24,2.56,2.81,2.78,0.01
Long-Term Investments,25.12,328.23,325.62,324.17,323.75,323.72,323.71,323.7,300.9,0
Other Long-Term Assets,0,0,0,0,0,0.12,0,0,0,0.05
Total Long-Term Assets,25.12,328.23,325.62,324.17,323.75,323.84,323.71,323.7,300.9,0.05
Total Assets,25.87,329.41,327.09,325.88,325.8,326.07,326.27,326.51,303.68,0.05
Accounts Payable,0.07,0.08,0,0.01,0,0.02,0,0.04,0.11,0
Other Current Liabilities,0.99,0.35,0.22,0.18,0.25,0.18,0.08,0.05,0.09,0.05
Total Current Liabilities,1.06,0.43,0.23,0.19,0.25,0.2,0.08,0.09,0.19,0.05
Other Long-Term Liabilities,13.83,12.67,12.5,12.83,14.61,20.18,21.68,31.7,25.24,0
Total Long-Term Liabilities,13.83,12.67,12.5,12.83,14.61,20.18,21.68,31.7,25.24,0
Total Liabilities,14.89,13.1,12.72,13.02,14.86,20.39,21.76,31.79,25.44,0.05
Common Stock,0,0,0,0,0,0,0,10.95,6.23,0.03
Retained Earnings,-14.04,-11.81,-11.15,-11.22,-12.75,-18.01,-19.18,-5.95,-1.23,-0.02
Shareholders' Equity,-14.04,-11.81,-11.15,-11.22,-12.75,-18.01,-19.18,5,5,0.01
Total Liabilities and Equity,0.85,1.29,1.57,1.8,2.11,2.38,2.58,36.79,30.44,0.05
Net Cash / Debt,0.57,1.05,1.19,1.26,1.47,1.66,1.73,1.82,1.63,0
Net Cash / Debt Growth,-61.35%,-36.59%,-31.05%,-30.53%,-9.75%,-,-,-,-,-
Net Cash Per Share,0.02,0.03,0.03,0.03,0.04,0.05,0.04,0.04,0.13,-
Working Capital,-0.31,0.75,1.25,1.51,1.8,2.03,2.49,2.72,2.58,-0.04
Book Value Per Share,-0.39,-0.28,-0.27,-0.27,-0.31,-0.52,-0.46,0.12,0.41,0.00
