Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-02-03
Cash & Equivalents,0.25,0.12,0.05,0.3,0.59,0.74,0,0,-,0
Cash & Cash Equivalents,0.25,0.12,0.05,0.3,0.59,0.74,0,0,0,0
Cash Growth,-57.36%,-84.29%,1094.17%,7491.80%,-,17746.72%,-,-,-,-
Other Current Assets,0.29,0.32,0.55,0.56,0.69,0.83,0,0,-,0.02
Total Current Assets,0.54,0.44,0.6,0.86,1.28,1.57,0,0,-,0.02
Long-Term Investments,240.41,237.8,235.89,234.98,234.7,234.62,0,0,-,0
Other Long-Term Assets,0,0,0,0,0,0,0.63,0.55,-,0.06
Total Long-Term Assets,240.41,237.8,235.89,234.98,234.7,234.62,0.63,0.55,-,0.06
Total Assets,240.95,238.23,236.49,235.84,235.97,236.19,0.63,0.56,-,0.07
Accounts Payable,0.06,0.03,0,0,0.07,0,0.39,0.53,-,0
Current Debt,0,0,0,0,0,0,0.22,0,-,0
Other Current Liabilities,0,0.01,0.08,0.08,0.14,0.12,0.07,0.03,-,0.06
Total Current Liabilities,0.06,0.03,0.08,0.08,0.21,0.12,0.67,0.56,-,0.06
Long-Term Debt,1.75,1.43,1.02,1.01,1.06,1.05,0,0,-,0
Other Long-Term Liabilities,2.36,2.81,3.79,5.89,8.98,11.77,0,0,-,0
Total Long-Term Liabilities,4.12,4.25,4.81,6.9,10.04,12.82,0,0,-,0
Total Liabilities,4.18,4.28,4.88,6.98,10.25,12.94,0.67,0.56,-,0.06
Total Debt,1.75,1.43,1.02,1.01,1.06,1.05,0.22,0,-,0
Debt Growth,65.68%,35.88%,358.35%,-,-,-,-,-,-,-
Common Stock,0,0,0,0,0,0,0.03,0.03,-,0.03
Retained Earnings,-3.55,-3.74,-4.18,-6.02,-8.88,-11.35,-0.07,-0.03,-,-0.01
Shareholders' Equity,-3.55,-3.74,-4.18,-6.02,-8.88,-11.35,-0.04,-0.01,-,0.01
Total Liabilities and Equity,0.64,0.54,0.7,0.96,1.37,1.59,0.63,0.56,-,0.07
Net Cash / Debt,-1.5,-1.32,-0.97,-0.71,-0.47,-0.31,-0.22,0,0,0
Net Cash Per Share,-0.05,-0.05,-0.03,-0.02,-0.02,-0.04,-0.04,0.00,-,-
Working Capital,0.47,0.41,0.52,0.78,1.06,1.45,-0.67,-0.56,-,-0.04
Book Value Per Share,-0.12,-0.13,-0.15,-0.21,-0.31,-1.41,-0.01,-0.00,-,-
