Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,3.35,4.24,3.21,3.6,3.87,4.16,4.6,4.85,5.39,0.03
Cash & Cash Equivalents,3.35,4.24,3.21,3.6,3.87,4.16,4.6,4.85,5.39,0.03
Cash Growth,-13.37%,1.93%,-30.26%,-25.70%,-28.25%,16520.65%,-,-,-,-
Other Current Assets,0.24,0.16,0.43,0.69,0.95,1.12,1.37,1.61,1.86,0
Total Current Assets,3.59,4.4,3.64,4.29,4.82,5.28,5.97,6.47,7.25,0.03
Long-Term Investments,"1,411.58","1,398.99","1,388.98","1,382.33","1,380.73","1,380.35","1,380.09","1,379.98","1,380.02",0
Other Long-Term Assets,0,0,0,0,0,0,0,0,0,0.01
Total Long-Term Assets,"1,411.58","1,398.99","1,388.98","1,382.33","1,380.73","1,380.35","1,380.09","1,379.98","1,380.02",0.01
Total Assets,"1,415.17","1,403.38","1,392.62","1,386.62","1,385.55","1,385.62","1,386.06","1,386.45","1,387.27",0.04
Accounts Payable,0,0,0,0,0,0,0,0.17,0.06,0
Other Current Liabilities,7.71,3.61,2.15,0.8,0.48,0.28,0.17,134.26,114.02,0.01
Total Current Liabilities,7.71,3.61,2.15,0.8,0.48,0.28,0.17,134.43,114.08,0.01
Other Long-Term Liabilities,55.55,52.2,56.78,69.42,84.47,108.83,104.34,0,0,0
Total Long-Term Liabilities,55.55,52.2,56.78,69.42,84.47,108.83,104.34,0,0,0
Total Liabilities,63.26,55.81,58.93,70.23,84.96,109.11,104.51,134.43,114.08,0.01
Common Stock,0,0,0,0,0,0,0,33.83,12.65,0.03
Retained Earnings,-51.47,-47.19,-52.12,-64.31,-79.4,-103.48,-98.45,-28.83,-7.65,-0
Shareholders' Equity,-51.46,-47.18,-52.12,-64.3,-79.4,-103.48,-98.45,5,5,0.02
Total Liabilities and Equity,11.8,8.63,6.81,5.92,5.55,5.62,6.06,139.43,119.08,0.04
Net Cash / Debt,3.35,4.24,3.21,3.6,3.87,4.16,4.6,4.85,5.39,0.03
Net Cash / Debt Growth,-13.37%,1.93%,-30.26%,-25.70%,-28.25%,16520.65%,-,-,-,-
Net Cash Per Share,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.06,0.00
Working Capital,-4.12,0.78,1.49,3.49,4.34,5,5.8,-127.97,-106.83,0.01
Book Value Per Share,-0.30,-0.27,-0.30,-0.37,-0.46,-0.60,-0.57,0.03,0.05,0.00
