Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Cash & Equivalents,51.74,30.01,74.8,63,109.13,22.59,103.54,31.45,-,33.16,-
Cash & Cash Equivalents,51.74,30.01,74.8,63,109.13,22.59,103.54,31.45,0,33.16,0
Cash Growth,-52.59%,32.85%,-27.76%,100.31%,-,-31.88%,-,-,-,-,-
"Property, Plant & Equipment",16.56,16.96,18.01,12.43,9.86,9.97,10,6.2,-,3.8,-
Goodwill and Intangibles,36.83,36.89,36.96,37.02,37.09,37.15,36.89,1.36,-,2.51,-
Total Assets,"1,213.96","1,163.65","1,144.87","1,059.89","1,035.68",932.76,979.17,464.43,-,429.54,-
Total Liabilities,"1,072.38","1,025.1","1,007.93",955.11,929.34,823.14,869.21,420.95,-,378.87,-
Total Debt,81.75,71.64,49.45,46.74,61.38,45.19,58.52,47.49,-,1.49,-
Debt Growth,33.19%,58.53%,-15.51%,-1.58%,-,2932.89%,-,-,-,-,-
Common Stock,127.91,117.86,117.85,83.17,83.03,83.01,82.87,50.62,-,21.47,-
Retained Earnings,18.91,27.1,27.53,26.49,25.62,24.84,24.79,-7.21,-,26.01,-
Comprehensive Income,-5.24,-6.41,-8.43,-4.89,-2.31,1.78,2.31,0.07,-,3.19,-
Shareholders' Equity,141.58,138.55,136.94,104.77,106.34,109.62,109.96,43.48,-,50.67,-
Total Liabilities and Equity,"1,213.96","1,163.65","1,144.87","1,059.89","1,035.68",932.76,979.17,464.43,-,429.54,-
Net Cash / Debt,-30.01,-41.63,25.35,16.26,47.75,-22.6,45.02,-16.04,0,31.67,0
Net Cash / Debt Growth,-,-,-43.70%,-,-,-,-,-,-,-,-
Net Cash Per Share,-1.94,-3.68,2.39,1.64,4.75,-3.12,7.18,-2.82,-,5.56,-
Book Value Per Share,9.14,12.25,12.93,10.65,10.82,15.93,17.53,7.64,-,8.90,-
