Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.15,0.35,0.42,0.12,0.26,0.38,0.57,0.87,0.02
Cash & Cash Equivalents,0.15,0.35,0.42,0.12,0.26,0.38,0.57,0.87,0.02
Cash Growth,-44.42%,-7.37%,-26.22%,-85.96%,1095.86%,-,-,-,-
Other Current Assets,0.08,0.21,0.29,0.41,0.51,0.7,0.88,1.02,0
Total Current Assets,0.22,0.56,0.72,0.54,0.78,1.08,1.45,1.89,0.02
Long-Term Investments,290.74,288.78,287.76,287.52,287.52,287.52,287.51,287.5,0
Other Long-Term Assets,0,0,0,0,0,0,0,0,0.09
Total Long-Term Assets,290.74,288.78,287.76,287.52,287.52,287.52,287.51,287.5,0.09
Total Assets,290.96,289.33,288.48,288.06,288.3,288.6,288.96,289.39,0.12
Accounts Payable,1.06,1.05,1.02,1.15,1.18,1.39,0.14,0.13,0
Current Debt,1.5,1.5,1.5,0.95,0.75,0,0,0,0
Other Current Liabilities,0.38,0.21,0.02,0,0,0,0,0,0.09
Total Current Liabilities,2.95,2.76,2.54,2.1,1.93,1.39,0.14,0.13,0.09
Other Long-Term Liabilities,10.17,10.97,11.21,15.72,22.05,22.96,29.52,28.16,0
Total Long-Term Liabilities,10.17,10.97,11.21,15.72,22.05,22.96,29.52,28.16,0
Total Liabilities,13.12,13.73,13.75,17.82,23.98,24.34,29.66,28.29,0.09
Total Debt,1.5,1.5,1.5,0.95,0.75,0,0,0,0
Debt Growth,100.00%,-,-,-,-,-,-,-,-
Common Stock,0,0,0,0,0,0,5.18,3.37,0.03
Retained Earnings,-12.48,-12.62,-12.83,-17.26,-23.18,-23.25,-0.18,1.63,-0
Shareholders' Equity,-12.48,-12.62,-12.83,-17.26,-23.18,-23.25,5,5,0.03
Total Liabilities and Equity,0.64,1.12,0.92,0.56,0.8,1.1,34.66,33.29,0.12
Net Cash / Debt,-1.35,-1.15,-1.08,-0.83,-0.49,0.38,0.57,0.87,0.02
Net Cash Per Share,-0.04,-0.03,-0.03,-0.02,-0.01,0.01,0.02,0.06,0.00
Working Capital,-2.72,-2.2,-1.82,-1.56,-1.15,-0.31,1.31,1.77,-0.07
Book Value Per Share,-0.35,-0.35,-0.36,-0.48,-0.64,-0.65,0.14,0.33,0.01
