Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.06,0.09,0.02,0.05,0.38,0.5,0.62,0.76,0.81,0
Cash & Cash Equivalents,0.06,0.09,0.02,0.05,0.38,0.5,0.62,0.76,0.81,0
Cash Growth,-84.18%,-81.84%,-96.29%,-93.46%,-53.17%,-,-,-,-,-
Other Current Assets,0.05,0.06,0.15,0.25,0.34,0.37,0.45,0.53,0.62,0
Total Current Assets,0.11,0.15,0.17,0.3,0.72,0.87,1.07,1.29,1.43,0
Long-Term Investments,38.11,151.63,150.45,149.7,149.59,149.55,149.53,149.52,149.52,0
Other Long-Term Assets,0,0,0,0,0,0,0,0,0,0.04
Total Long-Term Assets,38.11,151.63,150.45,149.7,149.59,149.55,149.53,149.52,149.52,0.04
Total Assets,38.22,151.78,150.62,150,150.32,150.42,150.61,150.81,150.95,0.04
Accounts Payable,0.19,0.16,0.13,0.1,0.26,0.17,0.01,0.01,0.01,0.04
Current Debt,0.72,0.12,0,0,0,0,0,0,0,0
Other Current Liabilities,6.72,5.99,5.9,5.87,5.83,5.81,5.06,0.18,0.15,0.02
Total Current Liabilities,7.63,6.27,6.03,5.97,6.09,5.99,5.07,0.19,0.16,0.06
Other Long-Term Liabilities,2.62,2.62,2.62,5.23,5.23,5.23,5.23,5.23,5.23,0
Total Long-Term Liabilities,2.62,2.62,2.62,5.23,5.23,5.23,5.23,5.23,5.23,0
Total Liabilities,10.24,8.89,8.64,11.2,11.32,11.22,10.31,5.42,5.39,0.06
Total Debt,0.72,0.12,0,0,0,0,0,0,0,0
Common Stock,0,0,0,0,0,0,0,5.39,5.22,0
Retained Earnings,-10.03,-8.64,-8.37,-10.81,-10.51,-10.3,-9.2,-0.39,-0.22,-0.01
Shareholders' Equity,-10.03,-8.64,-8.37,-10.81,-10.51,-10.3,-9.2,5,5,-0.01
Total Liabilities and Equity,0.21,0.25,0.27,0.4,0.82,0.92,1.11,10.42,10.39,0.04
Net Cash / Debt,-0.66,-0.03,0.02,0.05,0.38,0.5,0.62,0.76,0.81,0
Net Cash / Debt Growth,-,-,-96.29%,-93.46%,-53.17%,-,-,-,-,-
Net Cash Per Share,-0.04,-0.00,0.00,0.00,0.02,0.03,0.03,0.04,0.10,-
Working Capital,-7.51,-6.12,-5.85,-5.67,-5.37,-5.12,-4,1.11,1.27,-0.05
Book Value Per Share,-0.67,-0.45,-0.44,-0.56,-0.55,-0.55,-0.48,0.26,0.59,-
