Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
Cash & Equivalents,809.18,"1,038.24",890.45,849.77,612.69,"1,120.95",754.31,915.26,"1,021.83","1,007.01",665.96,748.02,805.2,773.28,394.82,497.56,788.33,736.05,415.93,660.07,637.31,532.89,560.99,"1,284.29",164.97,181.42,146,149.36,148.51,163.24,161.54,126.98,66.57,75.86,-,-,-,66.01
Cash & Cash Equivalents,809.18,"1,038.24",890.45,849.77,612.69,"1,120.95",754.31,915.26,"1,021.83","1,007.01",665.96,748.02,805.2,773.28,394.82,497.56,788.33,736.05,415.93,660.07,637.31,532.89,560.99,"1,284.29",164.97,181.42,146,149.36,148.51,163.24,161.54,126.98,66.57,75.86,0,0,0,66.01
Cash Growth,32.07%,-7.38%,18.05%,-7.15%,-40.04%,11.32%,13.27%,22.36%,26.90%,30.23%,68.68%,50.34%,2.14%,5.06%,-5.08%,-24.62%,23.70%,38.12%,-25.86%,-48.60%,286.32%,193.74%,284.24%,759.89%,11.08%,11.14%,-9.62%,17.62%,123.09%,115.17%,-,-,-,14.93%,-,-,-,-
Receivables,"1,275.04","1,196.02","1,762.54","1,646.56","1,832.33","1,173.28","1,866.67","1,817.31","2,171.87","1,898.48","2,058.82","2,716.79","3,104.02","1,422.12","1,830.84","1,541.74","1,309.27","1,112.02","1,115.76","1,051.92","1,434.04",972.02,980.52,385.37,662.31,448.73,513.29,"1,349.36",629.91,476.54,560.72,691.16,461.18,387.65,-,-,-,427.74
"Property, Plant & Equipment",280.05,272.64,282.1,294.53,310.17,314.92,351.49,348.15,361.72,382.45,403.62,408.61,416.32,430.62,422.35,436.17,505.18,113.32,117.5,129.24,128.68,137.02,144.69,33,34.07,29.66,30.7,32.17,33.02,37.5,42.44,47.11,41.78,44.64,-,-,-,37.59
Goodwill and Intangibles,"1,454.39","1,470.41","1,486.43","1,502.5","1,518.78","1,535.26","1,551.84","1,567.27","1,585.35","1,603.43","1,622.24","1,640.65","1,659.61","1,678.56","1,708.63","1,728.61","1,746.24",920.57,926.65,934.13,940.97,956.11,"1,012.35",719.41,716.32,716.37,716.42,716.48,716.53,716.58,716.63,716.69,716.74,716.79,-,-,-,717.01
Total Assets,"11,861.32","10,583.24","10,972.26","11,415.61","12,519.09","10,319.97","10,429.48","10,341.41","10,890.63","9,965.8","9,442.73","10,288.88","10,987.35","9,609.37","9,186.75","9,081.4","9,076.97","7,380.98","7,238.53","7,171.16","7,757.93","7,320.01","7,739.35","4,373.85","4,107.35","3,692.39","3,513.42","4,705.28","3,935.37","3,391.93","3,641.95","4,536.72","4,099.51","3,319.46",-,-,-,"3,963.57"
Accounts Payable,699.62,768.66,"1,218.1","1,207.99","1,454.35","1,084.47","1,691.91","1,303.52","1,813.32","1,487.09","1,325.56","1,962.95","2,283.64","1,315.64","1,538.8","1,149.68","1,423.34",862.42,"1,236.58",983.19,962.09,"1,075.03","1,151.94",529.21,663.19,765.26,400.11,500.7,525.32,573.38,456.33,689.41,843.47,779.53,-,-,-,611.15
Total Liabilities,"10,225.94","8,931.81","9,299.35","9,675.21","10,820.35","8,456.35","8,628.76","8,418.59","8,846.55","8,110.76","7,635.92","8,587.87","9,458.7","8,380.43","7,890.03","7,729.53","7,640.33","5,886.28","5,853.92","5,729.54","6,299.46","6,168.43","6,573.82","3,856.36","3,577.36","3,157.98","2,970.34","4,158.7","3,370.78","2,834.06","3,113.12","4,032.06","3,599.72","2,812.76",-,-,-,"3,510.28"
Total Debt,"9,287.2","7,924.05","7,843.1","8,229.2","9,128","7,112.54","6,682.2","6,860.41","6,762.07","6,352.51","6,054.37","6,368.92","6,919.06","6,795.52","6,028.67","6,257.3","5,936.72","4,809.46","4,418.07","4,534.72","5,190.32","4,946.36","5,189.32","3,095.52","2,684.79","2,161.32","2,344.18","3,439.6","2,627.06","2,042.28","2,472.11","3,157.97","2,756.25","2,033.23",-,-,-,"2,899.13"
