Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,0.13,0.17,0.3,0.36,0.46,0.54,0.2,0
Cash & Cash Equivalents,0.13,0.17,0.3,0.36,0.46,0.54,0.2,0
Cash Growth,-71.74%,-68.65%,52.46%,-,-,-,-,-
Other Current Assets,0.25,0.39,0.52,0.54,0.5,0.9,0.02,-
Total Current Assets,0.38,0.56,0.82,0.91,0.97,1.44,0.22,-
Long-Term Investments,253.61,251.5,250.37,250.03,250.01,250,0,-
Other Long-Term Assets,0,0,0,0.12,0.25,0,0.38,-
Total Long-Term Assets,253.61,251.5,250.37,250.16,250.26,250,0.38,-
Total Assets,254,252.06,251.19,251.06,251.22,251.44,0.6,0.03
Accounts Payable,0,0,0,0.04,0.11,0,0,0
Current Debt,0.15,0.12,0.08,0,0.01,0.04,0.3,0
Other Current Liabilities,0,0.01,0.1,0.12,0,0.02,0.28,0.01
Total Current Liabilities,0.15,0.13,0.18,0.16,0.12,0.05,0.58,0.01
Other Long-Term Liabilities,7.7,7.7,7.7,7.7,7.7,7.7,0,0
Total Long-Term Liabilities,7.7,7.7,7.7,7.7,7.7,7.7,0,0
Total Liabilities,7.85,7.83,7.88,7.86,7.82,7.75,0.58,0.01
Total Debt,0.15,0.12,0.08,0,0.01,0.04,0.3,0
Debt Growth,1402.21%,203.55%,-73.43%,-,-,-,-,-
Common Stock,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-7.47,-7.26,-7.06,-6.8,-6.6,-6.32,-0.01,-0.01
Shareholders' Equity,-7.47,-7.26,-7.06,-6.8,-6.6,-6.31,0.02,0.02
Total Liabilities and Equity,0.38,0.56,0.82,1.06,1.22,1.44,0.6,0.03
Net Cash / Debt,-0.02,0.05,0.22,0.36,0.45,0.5,-0.1,-0
Net Cash / Debt Growth,-,-89.21%,-,-,-,-,-,-
Net Cash Per Share,-0.00,0.00,0.01,0.01,0.02,0.02,-0.02,-0.00
Working Capital,0.23,0.44,0.64,0.74,0.85,1.39,-0.36,-
Book Value Per Share,-0.23,-0.23,-0.22,-0.21,-0.32,-0.20,0.00,0.00
