Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.05,0.82,0.21,0.26,0.44,0.67,0.08,0.1,-,0.03
Short-Term Investments,0.48,0,0,0,0,0,0,0,-,0
Cash & Cash Equivalents,0.53,0.82,0.21,0.26,0.44,0.67,0.08,0.1,0,0.03
Cash Growth,20.08%,21.55%,156.14%,156.27%,-,2583.99%,-,-,-,-
Other Current Assets,0.27,0.31,0.39,0.4,0.42,0.39,0,0,-,0
Total Current Assets,0.8,1.13,0.59,0.66,0.86,1.06,0.08,0.1,-,0.03
Long-Term Investments,25.58,25.53,128.51,127.95,127.79,127.77,0,0,-,0
Other Long-Term Assets,0.01,0.01,0.03,0.13,0.22,0.31,0.13,0.06,-,0.03
Total Long-Term Assets,25.59,25.54,128.54,128.07,128.01,128.08,0.13,0.06,-,0.03
Total Assets,26.38,26.67,129.13,128.73,128.87,129.14,0.21,0.16,-,0.05
Accounts Payable,0.38,0.29,0.09,0.09,0.07,0.06,0.02,0.01,-,0.03
Current Debt,0.35,0.35,0,0,0,0,0.21,0.11,-,0
Other Current Liabilities,0.46,0.5,0.34,0.1,0.05,0.03,0.02,0.03,-,0
Total Current Liabilities,1.19,1.14,0.42,0.19,0.12,0.1,0.25,0.15,-,0.03
Total Liabilities,1.19,1.14,0.42,0.19,0.12,0.1,0.25,0.15,-,0.03
Total Debt,0.35,0.35,0,0,0,0,0.21,0.11,-,0
Common Stock,0.21,0.38,1.22,1.62,1.62,1.62,0.03,0.03,-,0.03
Retained Earnings,-0.58,-0.33,-0.68,-0.84,-0.64,-0.35,-0.06,-0.01,-,-0
Shareholders' Equity,-0.37,0.06,0.54,0.78,0.98,1.27,-0.03,0.01,-,0.02
Total Liabilities and Equity,0.83,1.2,0.96,0.97,1.11,1.37,0.21,0.16,-,0.05
Net Cash / Debt,0.18,0.47,0.21,0.26,0.44,0.67,-0.12,-0,0,0.03
Net Cash / Debt Growth,-59.38%,-30.61%,-,-,-,2583.99%,-,-,-,-
Net Cash Per Share,0.03,0.15,0.01,0.02,0.03,0.24,-0.04,-0.00,-,-
Working Capital,-0.4,-0.02,0.17,0.48,0.74,0.96,-0.17,-0.05,-,-0
Book Value Per Share,-0.07,0.02,0.03,0.05,0.06,0.45,-0.01,0.01,-,0.01
