Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-16
Cash & Equivalents,0.81,0.48,0.62,0.8,0,0.01,0.03
Cash & Cash Equivalents,0.81,0.48,0.62,0.8,0,0.01,0.03
Cash Growth,20586.97%,4060.26%,2374.24%,-,-,-,-
Other Current Assets,0.27,0.28,0.3,0.31,0,0,0
Total Current Assets,1.08,0.76,0.92,1.11,0,0.01,0.03
Long-Term Investments,117.19,116.77,116.25,116.09,0,0,0
Other Long-Term Assets,0.02,0.09,0.14,0.21,0.32,0.3,0.12
Total Long-Term Assets,117.21,116.85,116.39,116.3,0.32,0.3,0.12
Total Assets,118.29,117.61,117.31,117.41,0.33,0.31,0.15
Accounts Payable,0.83,0.7,0.78,0.21,0.01,0,0
Current Debt,0,0,0,0,0.08,0.06,0
Other Current Liabilities,0.41,0.24,0.1,0.05,0.23,0.23,0.12
Total Current Liabilities,1.24,0.94,0.88,0.26,0.31,0.29,0.12
Total Liabilities,1.24,0.94,0.88,0.26,0.31,0.29,0.12
Total Debt,0,0,0,0,0.08,0.06,0
Common Stock,1.61,1.61,1.61,1.61,0.03,0.03,0.03
Retained Earnings,-1.86,-1.46,-1.32,-0.6,-0.01,-0,-0
Shareholders' Equity,-0.26,0.14,0.28,1,0.01,0.02,0.02
Total Liabilities and Equity,0.99,1.08,1.16,1.26,0.33,0.31,0.15
Net Cash / Debt,0.81,0.48,0.62,0.8,-0.08,-0.04,0.03
Net Cash / Debt Growth,-,-,2374.24%,-,-,-,-
Net Cash Per Share,0.05,0.03,0.04,0.06,-0.03,-0.02,-
Working Capital,-0.17,-0.18,0.04,0.85,-0.31,-0.28,-0.1
Book Value Per Share,-0.02,0.01,0.02,0.08,0.01,0.01,-
