Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Cash & Equivalents,57.62,41.18,57.32,54.81,101.56,193.45,324.29,925.09,292.13,316.45,-,-,-,124.03
Cash & Cash Equivalents,57.62,41.18,57.32,54.81,101.56,193.45,324.29,925.09,292.13,316.45,0,0,0,124.03
Cash Growth,-43.27%,-78.71%,-82.32%,-94.08%,-65.23%,-38.87%,-,-,-,155.13%,-,-,-,-
Receivables,7.38,6.89,6.43,5.95,5.78,5.37,5.71,5.51,5.93,5.75,-,-,-,5.39
"Property, Plant & Equipment",57.16,55.73,55.53,54.85,52.94,53.58,53.37,51.2,47.31,45.07,-,-,-,34.28
Goodwill and Intangibles,0,0,0,0,0,0,0,0,0,0,-,-,-,15.46
Total Assets,"2,101.06","2,043.34","2,011.92","1,964.05","1,938.16","1,914.21","2,024.33","2,576.85","1,963.61","1,942.55",-,-,-,"1,854.14"
Total Liabilities,"1,715.36","1,649.62","1,614.58","1,551.76","1,517.94","1,484.74","1,576.1","2,371.94","1,758.16","1,736.95",-,-,-,"1,616.52"
Total Debt,459.99,347.13,333.3,241.09,221.42,221.78,285.06,352.58,360.18,365.78,-,-,-,309.11
Debt Growth,107.74%,56.52%,16.92%,-31.62%,-38.52%,-39.37%,-,-,-,18.33%,-,-,-,-
Common Stock,238.29,246.67,253.69,260.99,260.71,260.39,259.67,0.83,0.83,0.83,-,-,-,0.83
Retained Earnings,170.53,171.76,171.2,170.05,170.01,169.46,189.08,204.05,205.05,205.8,-,-,-,237.31
Comprehensive Income,-23.13,-24.72,-27.55,-18.75,-10.5,-0.37,-0.51,0.03,-0.43,-1.03,-,-,-,-0.52
Shareholders' Equity,385.69,393.72,397.34,412.29,420.21,429.47,448.24,204.91,205.45,205.6,-,-,-,237.62
Total Liabilities and Equity,"2,101.06","2,043.34","2,011.92","1,964.05","1,938.16","1,914.21","2,024.33","2,576.85","1,963.61","1,942.55",-,-,-,"1,854.14"
Net Cash / Debt,-402.37,-305.94,-275.98,-186.28,-119.86,-28.33,39.23,572.51,-68.04,-49.33,0,0,0,-185.07
Net Cash Per Share,-15.86,-11.71,-10.51,-7.07,-4.55,-,1.78,-,-,-,-,-,-,-
Book Value Per Share,15.20,15.24,15.21,15.64,15.95,35.29,20.39,9.42,9.45,9.45,-,-,-,-
