Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
Cash & Equivalents,190.52,147.03,154.04,299.91,250.21,203.29,214.97,174.62,211.78,194.1,257.38,307.6,188.92,146.23,121.91,133.29,173.59,162.27,164.06,168.65,181.55,73.66,-,-,-,69.95
Cash & Cash Equivalents,190.52,147.03,154.04,299.91,250.21,203.29,214.97,174.62,211.78,194.1,257.38,307.6,188.92,146.23,121.91,133.29,173.59,162.27,164.06,168.65,181.55,73.66,0,0,0,69.95
Cash Growth,-23.86%,-27.67%,-28.35%,71.75%,18.15%,4.73%,-16.48%,-43.23%,12.10%,32.74%,111.12%,130.79%,8.83%,-9.89%,-25.69%,-20.97%,-4.39%,120.31%,-,-,-,5.30%,-,-,-,-
"Property, Plant & Equipment",12.33,13.27,11.57,10.15,9.62,9.88,10.47,10.17,10.92,11.66,11.68,12.39,13.19,12.75,13.57,14.44,13.39,4.59,4.62,4.89,5.07,4.72,-,-,-,4.56
Goodwill and Intangibles,7.35,7.35,7.63,7.72,7.53,7.27,7.01,6.48,6.25,6.4,6.17,6.4,6.36,6.8,6.9,7.23,7.49,7.67,8.11,8.39,8.89,8.97,-,-,-,8.3
Total Assets,"2,500.52","2,420.04","2,327.05","2,344.56","2,199.74","2,149.74","2,104.7","2,060","2,050.67","1,922.85","2,021.19","2,020.78","1,799.94","1,746.33","1,699.45","1,726.49","1,717.77","1,697.03","1,663.79","1,619.17","1,578.97","1,442",-,-,-,"1,226.64"
Total Liabilities,"2,163.69","2,084.59","1,994.33","2,010.19","1,938.68","1,893.45","1,857.1","1,821.06","1,810.41","1,689.07","1,791.85","1,793.54","1,575.81","1,519.49","1,474.8","1,503.09","1,500.56","1,486.73","1,460.85","1,467.74","1,431.74","1,299.82",-,-,-,"1,099.64"
Total Debt,6.24,26.81,7.4,7.07,17.18,17.44,17.86,17.34,47.94,88.46,138.2,138.76,89.35,29.99,30.57,46.13,40.13,30,30,30,40,40,-,-,-,0
Debt Growth,-63.68%,53.69%,-58.56%,-59.24%,-64.17%,-80.28%,-87.08%,-87.50%,-46.35%,194.95%,352.03%,200.79%,122.63%,-0.03%,1.91%,53.77%,0.33%,-25.00%,-,-,-,-,-,-,-,-
Common Stock,212.5,218.77,223.03,224.98,155.61,154.99,154.62,154.8,164.7,164.14,163.96,163.76,163.53,169.22,169.22,174.14,174.74,174.37,174.65,128.79,128.58,128.37,-,-,-,127.54
Retained Earnings,133.42,127.18,120.7,115.99,109.14,101.14,92.25,83,74.71,67.69,63.44,61.53,59.7,57.67,54.77,48.93,43.29,37.58,31.33,25.26,20.9,15.04,-,-,-,0
Comprehensive Income,-9.08,-10.51,-11.01,-6.6,-3.7,0.15,0.73,1.14,0.86,1.96,1.94,1.94,0.89,-0.06,0.65,0.34,-0.82,-1.65,-3.04,-2.61,-2.25,-1.22,-,-,-,-0.53
Shareholders' Equity,336.83,335.44,332.72,334.38,261.06,256.29,247.6,238.94,240.26,233.79,229.34,227.23,224.13,226.83,224.64,223.4,217.21,210.3,202.94,151.43,147.23,142.18,-,-,-,127.01
Total Liabilities and Equity,"2,500.52","2,420.04","2,327.05","2,344.56","2,199.74","2,149.74","2,104.7","2,060","2,050.67","1,922.85","2,021.19","2,020.78","1,799.94","1,746.33","1,699.45","1,726.49","1,717.77","1,697.03","1,663.79","1,619.17","1,578.97","1,442",-,-,-,"1,226.64"
Net Cash / Debt,184.28,120.22,146.64,292.84,233.04,185.84,197.11,157.28,163.85,105.64,119.18,168.85,99.57,116.24,91.34,87.15,133.45,132.27,134.06,138.65,141.55,33.66,0,0,0,69.95
Net Cash / Debt Growth,-20.92%,-35.31%,-25.61%,86.19%,42.23%,75.91%,65.39%,-6.85%,64.55%,-9.11%,30.48%,93.73%,-25.39%,-12.12%,-31.87%,-37.14%,-5.72%,292.99%,-,-,-,-51.88%,-,-,-,-
Net Cash Per Share,12.64,8.08,9.72,19.36,15.39,12.29,13.11,10.27,10.55,6.86,7.75,10.98,6.34,7.27,5.67,5.34,8.20,7.96,8.98,10.17,10.42,2.48,-,-,-,-
Book Value Per Share,23.36,22.85,22.36,22.47,17.58,17.32,16.75,15.81,15.62,15.23,14.95,14.82,14.45,14.48,14.20,13.95,13.58,13.15,13.78,11.27,10.97,10.60,-,-,-,10.13
