Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,67.34,62.35,34.51,55.3,52.09,52.98,-,-,-,43.41
Cash & Cash Equivalents,67.34,62.35,34.51,55.3,52.09,52.98,0,0,0,43.41
Cash Growth,29.29%,17.70%,-,-,-,22.03%,-,-,-,-
"Property, Plant & Equipment",3.64,3.7,3.74,3.76,3.76,3.78,-,-,-,3.98
Total Assets,"1,156.87","1,064.46",873.58,781.95,688.64,666.49,-,-,-,587.63
Total Liabilities,993.79,901.73,712.52,701.92,609.97,589.22,-,-,-,514.59
Total Debt,208,174,50.48,30.48,10.48,9,-,-,-,18
Debt Growth,1885.68%,1833.33%,-,-,-,-50.00%,-,-,-,-
Common Stock,82.54,82.41,82.06,80.14,78.74,0,-,-,-,73.31
Retained Earnings,80.3,80.08,79.1,-,-,77.36,-,-,-,-
Comprehensive Income,0.24,0.25,-0.1,-0.1,-0.07,-0.08,-,-,-,-0.28
Shareholders' Equity,163.08,162.73,161.06,80.03,78.67,77.27,-,-,-,73.03
Total Liabilities and Equity,"1,156.87","1,064.46",873.58,781.95,688.64,666.49,-,-,-,587.63
Net Cash / Debt,-140.66,-111.65,-15.96,24.82,41.61,43.98,0,0,0,25.41
Net Cash / Debt Growth,-,-,-,-,-,73.05%,-,-,-,-
Net Cash Per Share,-16.58,-13.15,-1.89,-,-,-,-,-,-,-
Book Value Per Share,19.23,19.17,19.07,8.98,8.82,8.67,-,-,-,-
