Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Cash & Equivalents,0.37,0.03,0.03,0.03,0.03,0.03,0.07,0.03,0.47,0.03,0.03
Cash & Cash Equivalents,0.37,0.03,0.03,0.03,0.03,0.03,0.07,0.03,0.47,0.03,0.03
Cash Growth,1381.78%,0%,-63.47%,-21.76%,-94.67%,0%,173.75%,-,-,-,-
Other Current Assets,0,0.13,0.27,0.41,0.47,0.5,0.52,0.5,0.21,-,-
Total Current Assets,0.37,0.15,0.3,0.44,0.49,0.53,0.59,0.54,0.67,-,-
Long-Term Investments,104.18,502.55,500.13,500.01,500.03,500.03,500.01,500,500,-,-
Other Long-Term Assets,0,0,0,0,0,0.11,0.23,0.39,0.2,-,-
Total Long-Term Assets,104.18,502.55,500.13,500.01,500.03,500.13,500.24,500.39,500.2,-,-
Total Assets,104.55,502.71,500.43,500.45,500.53,500.66,500.83,500.92,500.88,0.21,0.03
Accounts Payable,0.04,0,0.7,0,0,0,0.04,0.01,0.41,0.09,0
Current Debt,3.01,2.47,1.42,1.26,0.86,0.81,0.77,0.67,0,-,-
Other Current Liabilities,2.42,0.71,0.35,1.02,1.16,1.06,0.15,0.11,0.04,-,-
Total Current Liabilities,5.47,3.17,2.47,2.28,2.02,1.87,0.96,0.79,0.46,-,-
Other Long-Term Liabilities,2.35,1.38,3.18,9.38,15.36,17.32,21.59,18.06,26.01,-,-
Total Long-Term Liabilities,2.35,1.38,3.18,9.38,15.36,17.32,21.59,18.06,26.01,-,-
Total Liabilities,7.81,4.55,5.64,11.66,17.38,19.19,22.55,18.85,26.46,0.18,0
Total Debt,3.01,2.47,1.42,1.26,0.86,0.81,0.77,0.67,0,0,0
Debt Growth,251.21%,204.03%,84.65%,87.28%,-,-,-,-,-,-,-
Common Stock,0,0,0.28,0.28,0.28,0,6.92,3.14,0,0.03,0.03
Retained Earnings,-6.42,-3.37,-4.41,-11.49,-17.13,-18.53,-1.92,1.86,-25.59,-0,-0
Comprehensive Income,0,-0.26,-1.09,0,0,0,0,0,0,0,0
Shareholders' Equity,-6.42,-3.63,-5.21,-11.21,-16.85,-18.53,5,5,-25.59,0.02,0.02
Total Liabilities and Equity,1.39,0.92,0.43,0.45,0.53,0.66,27.55,23.85,0.88,0.21,0.03
Net Cash / Debt,-2.64,-2.44,-1.39,-1.24,-0.83,-0.79,-0.7,-0.64,0.47,0.03,0.03
Net Cash Per Share,-,-,-,-,-,-,-,-,-,0.00,-
Working Capital,-5.1,-3.02,-2.17,-1.84,-1.52,-1.34,-0.37,-0.26,0.22,-,-
Book Value Per Share,-0.11,-0.06,-0.08,-0.18,-0.27,-0.29,0.08,0.08,-1.90,0.00,0.00
