Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2019-12-31
Cash & Equivalents,100.8,83.9,138.4,125.8,161.6,167.8,51.5,41.1,-,83.4,-,67.6
Cash & Cash Equivalents,100.8,83.9,138.4,125.8,161.6,167.8,51.5,41.1,0,83.4,0,67.6
Cash Growth,-37.62%,-50.00%,168.74%,206.08%,-,101.20%,-,-39.20%,-,-,-,-
Receivables,97.5,87,87.2,76.1,72.5,57.6,56,55,-,37.3,-,36.1
Other Current Assets,20.5,18.3,21,20.8,19.2,17.4,12.8,11.7,-,8.7,-,4.2
Total Current Assets,218.8,189.2,246.6,222.7,253.3,242.8,120.3,107.8,-,129.4,-,107.9
"Property, Plant & Equipment",61.4,60.4,59,56.1,52.9,48.8,41.3,42.3,-,41.7,-,34.1
Goodwill and Intangibles,170.9,175.3,179,66.5,69.1,71.4,73.7,75.6,-,79.4,-,0.3
Other Long-Term Assets,1,0.8,0.7,0.7,0.8,1.1,4.2,17.1,-,4.7,-,2.3
Total Long-Term Assets,233.3,236.5,238.7,123.3,122.8,121.3,119.2,135,-,125.8,-,36.7
Total Assets,452.1,425.7,485.3,346,376.1,364.1,239.5,242.8,-,255.2,-,144.6
Accounts Payable,12,3.6,5.8,6.2,5.2,3.2,4.1,5.3,-,5.4,-,1.8
Current Debt,0,0,0,0,0,0,0,0,-,0,-,5
Other Current Liabilities,68,68.8,78.9,64.1,72,62.6,57.5,56.9,-,18.6,-,20.1
Total Current Liabilities,80,72.4,84.7,70.3,77.2,65.8,61.6,62.2,-,24,-,26.9
Long-Term Debt,0,0,70,0,0,0,30,30.1,-,30.2,-,30.5
Other Long-Term Liabilities,10.3,11.6,12,12.2,43.5,40.7,28.9,29.3,-,49.5,-,10.4
Total Long-Term Liabilities,10.3,11.6,82,12.2,43.5,40.7,58.9,59.4,-,79.7,-,40.9
Total Liabilities,90.3,84,166.7,82.5,120.7,106.5,120.5,121.6,-,103.7,-,67.8
Total Debt,0,0,70,0,0,0,30,30.1,-,30.2,-,35.5
Debt Growth,-,-,133.33%,-,-,-,-,-15.21%,-,-,-,-
Common Stock,445.5,427.3,414.1,358.6,340.2,331.6,118.5,112.5,-,99.8,-,28.2
Retained Earnings,-83,-84.7,-93.6,-94.3,-85,-74.5,-66.6,-58.8,-,-17.7,-,-20.2
Comprehensive Income,-0.7,-0.9,-1.9,-0.8,0.2,0.5,0.9,0.8,-,0.6,-,0
Shareholders' Equity,361.8,341.7,318.6,263.5,255.4,257.6,52.8,54.5,-,82.7,-,8
Total Liabilities and Equity,452.1,425.7,485.3,346,376.1,364.1,173.3,176.1,-,186.4,-,75.8
Net Cash / Debt,100.8,83.9,68.4,125.8,161.6,167.8,21.5,11,0,53.2,0,32.1
Net Cash / Debt Growth,-37.62%,-50.00%,218.14%,1043.64%,-,215.41%,-,-65.73%,-,-,-,-
Net Cash Per Share,1.26,1.12,0.91,1.87,2.42,2.80,0.43,0.22,-,0.91,-,-
Working Capital,138.8,116.8,161.9,152.4,176.1,177,58.7,45.6,-,105.4,-,81
Book Value Per Share,4.77,4.57,4.34,3.91,3.82,4.29,1.06,1.10,-,1.77,-,0.19
