Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
Cash & Equivalents,4.47,5.68,4.01,4.42,6.74,16.38,17.89,18.53,23.79,9.66,15.46,22.54,21.74,18.82,19.88,22.15,10.06,12.7,19.14,43.1,16.34,7.46,-,-,-,9.31
Cash & Cash Equivalents,4.47,5.68,4.01,4.42,6.74,16.38,17.89,18.53,23.79,9.66,15.46,22.54,21.74,18.82,19.88,22.15,10.06,12.7,19.14,43.1,16.34,7.46,0,0,0,9.31
Cash Growth,-33.67%,-65.30%,-77.58%,-76.13%,-71.66%,69.54%,15.66%,-17.81%,9.40%,-48.66%,-22.21%,1.77%,116.23%,48.17%,3.83%,-48.61%,-38.45%,70.15%,-,-,-,-19.83%,-,-,-,-
"Property, Plant & Equipment",2.16,2.15,2.31,2.21,2.06,2.05,2.03,2.06,2.07,2,1.92,1.98,2.01,2.01,2.01,2.12,2.14,2.17,2.19,2.25,2.28,2.3,-,-,-,2.48
Total Assets,266.37,269.22,264.55,266.45,261.49,254.26,252.25,249.15,244.86,235.36,218.28,217.5,208.3,208.44,209.12,207.68,198.67,200.66,199.44,214.77,184.01,176.68,-,-,-,177.63
Total Liabilities,231.43,235.9,233.74,232.07,220.54,207.73,206.04,200.04,196.98,186.36,169.44,166.56,158.79,157.62,158.24,156.87,149.06,151.82,151.76,190.62,160.15,152.52,-,-,-,154.7
Total Debt,25,29,31,26,10,10,10,10,10,11,10,10,10,10,10,10,0,0,0,0,3,0,-,-,-,0
Debt Growth,150.00%,190.00%,210.00%,160.00%,-,-9.09%,-,-,-,10.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Common Stock,19.34,19.24,19.07,19,20.86,20.91,20.99,23.59,23.59,23.49,24.14,26.43,28.04,28.17,28.13,28.4,28.37,28.34,28.3,4.88,4.88,4.88,-,-,-,4.87
Retained Earnings,24.61,24.92,24.7,24.3,23.88,23.53,23.27,22.89,22.59,22.3,22.16,21.96,21.68,21.36,21.23,21.2,20.97,20.67,20.22,19.94,19.65,19.33,-,-,-,18.23
Comprehensive Income,-9.01,-10.83,-12.96,-8.92,-3.79,2.1,1.96,2.63,1.71,3.21,2.55,2.55,-0.21,1.28,1.53,1.21,0.28,-0.17,-0.85,-0.67,-0.66,-0.05,-,-,-,-0.18
Shareholders' Equity,34.94,33.32,30.81,34.38,40.95,46.53,46.22,49.12,47.88,49,48.85,50.94,49.51,50.81,50.89,50.81,49.61,48.84,47.67,24.15,23.86,24.15,-,-,-,22.93
Total Liabilities and Equity,266.37,269.22,264.55,266.45,261.49,254.26,252.25,249.15,244.86,235.36,218.28,217.5,208.3,208.44,209.12,207.68,198.67,200.66,199.44,214.77,184.01,176.68,-,-,-,177.63
Net Cash / Debt,-20.53,-23.32,-26.99,-21.58,-3.26,6.38,7.89,8.53,13.79,-1.34,5.46,12.54,11.74,8.82,9.88,12.15,10.06,12.7,19.14,43.1,13.34,7.46,0,0,0,9.31
Net Cash / Debt Growth,-,-,-,-,-,-,44.33%,-32.01%,17.40%,-,-44.69%,3.24%,16.78%,-30.57%,-48.40%,-71.81%,-24.61%,70.15%,-,-,-,-19.83%,-,-,-,-
Book Value Per Share,12.11,11.61,10.73,11.95,13.61,15.42,15.26,15.48,15.09,15.44,14.68,14.57,13.95,14.39,14.27,14.25,13.92,13.68,13.35,6.76,6.68,6.76,-,-,-,-
