Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-10-19
Cash & Equivalents,0.21,0.15,0.03,0.16,0.02,0.27,0.09,0.13,0.27,0,0
Cash & Cash Equivalents,0.21,0.15,0.03,0.16,0.02,0.27,0.09,0.13,0.27,0,0
Cash Growth,815.01%,-43.65%,-65.55%,19.65%,-91.77%,-,-,-,-,-,-
Other Current Assets,0.13,0.04,0.18,0.33,0.48,0.5,0.3,0.57,0.76,0.01,0.01
Total Current Assets,0.34,0.19,0.21,0.49,0.51,0.76,0.39,0.7,1.03,0.01,0.01
Long-Term Investments,261.63,700.03,694.19,691.06,690.14,690.08,690.06,690.05,690.03,0,0
Other Long-Term Assets,0,0,0,0.02,0.33,0,0.22,0,0.42,0.56,0.05
Total Long-Term Assets,261.63,700.03,694.19,691.08,690.47,690.08,690.28,690.05,690.45,0.56,0.05
Total Assets,261.96,700.22,694.4,691.56,690.98,690.84,690.67,690.76,691.48,0.56,0.07
Accounts Payable,0.01,0.03,0,0.02,0.13,0.03,0.04,0.03,0.02,0,0
Current Debt,1.38,0.71,0.6,1.04,0.58,0.59,0.3,0.15,0,0.18,0
Other Current Liabilities,0.78,0.73,0.8,0.74,1.32,0.81,0.63,0.1,0.19,0.36,0.06
Total Current Liabilities,2.17,1.47,1.41,1.81,2.03,1.43,0.96,0.28,0.21,0.55,0.06
Other Long-Term Liabilities,34.18,31.68,30.1,32.34,38.09,57.18,50.96,57.99,49.67,0.05,0
Total Long-Term Liabilities,34.18,31.68,30.1,32.34,38.09,57.18,50.96,57.99,49.67,0.05,0
Total Liabilities,36.35,33.15,31.51,34.15,40.12,58.61,51.92,58.27,49.88,0.59,0.06
Total Debt,1.38,0.71,0.6,1.04,0.58,0.59,0.3,0.15,0,0.18,0
Debt Growth,139.22%,19.64%,101.35%,595.17%,-,226.44%,-,-,-,-,-
Common Stock,0,0,0,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-35.92,-32.86,-31.2,-33.54,-39.14,-57.77,-51.25,-57.51,-48.4,-0.06,-0.02
Shareholders' Equity,-35.91,-32.86,-31.2,-33.54,-39.14,-57.77,-51.25,-57.51,-48.4,-0.03,0.01
Total Liabilities and Equity,0.44,0.29,0.31,0.61,0.98,0.84,0.67,0.76,1.48,0.56,0.07
Net Cash / Debt,-1.18,-0.56,-0.57,-0.89,-0.55,-0.33,-0.21,-0.02,0.27,-0.18,0
Net Cash Per Share,-0.02,-0.01,-0.01,-0.01,-0.01,-0.00,-0.00,-0.00,0.00,-0.01,-
Working Capital,-1.83,-1.28,-1.2,-1.32,-1.52,-0.66,-0.57,0.42,0.82,-0.54,-0.04
Book Value Per Share,-0.73,-0.38,-0.36,-0.39,-0.45,-0.76,-0.59,-0.67,-0.64,-0.00,0.00
