Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-10-13
Cash & Equivalents,0.21,0.31,0.4,0.56,1.36,0
Cash & Cash Equivalents,0.21,0.31,0.4,0.56,1.36,0
Cash Growth,-84.72%,-,-,-,-,-
Other Current Assets,0.18,0.29,0.42,0.49,0,-
Total Current Assets,0.38,0.6,0.82,1.05,1.36,-
Long-Term Investments,213.48,210.11,209.28,209.15,209.09,-
Total Long-Term Assets,213.48,210.11,209.28,209.15,209.09,-
Total Assets,213.86,210.71,210.1,210.2,210.45,0.06
Accounts Payable,0.48,0.32,0.21,0.22,0.24,0
Current Debt,2.07,0,0,0,0,0.03
Other Current Liabilities,0.09,0.19,0.02,0,0.01,0
Total Current Liabilities,2.64,0.51,0.23,0.22,0.25,0.03
Total Liabilities,2.64,0.51,0.23,0.22,0.25,0.03
Total Debt,2.07,0,0,0,0,0.03
Common Stock,0,0.66,1.36,1.36,1.36,0.03
Retained Earnings,-1.97,-0.24,-0.56,-0.46,-0.24,-0
Shareholders' Equity,-1.97,0.42,0.8,0.9,1.13,0.02
Total Liabilities and Equity,0.67,0.93,1.03,1.13,1.38,0.06
Net Cash / Debt,-1.86,0.31,0.4,0.56,1.36,-0.03
Net Cash Per Share,-0.07,0.01,0.01,0.02,0.15,-0.01
Working Capital,-2.26,0.08,0.59,0.82,1.11,-
Book Value Per Share,-0.07,0.02,0.03,0.03,0.12,0.01
