Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.1,0.14,0.21,0.37,0.32,0.3,0.09,0.78,0.01
Cash & Cash Equivalents,0.1,0.14,0.21,0.37,0.32,0.3,0.09,0.78,0.01
Cash Growth,-68.94%,-52.49%,147.34%,-52.76%,3480.74%,-,-,-,-
Other Current Assets,0.09,0.24,0.39,0.47,0.52,0.52,0.52,0.99,0.3
Total Current Assets,0.19,0.38,0.6,0.84,0.84,0.82,0.61,1.76,0.3
Long-Term Investments,290.72,288.81,287.7,287.51,287.52,287.51,287.51,287.5,0
Other Long-Term Assets,0,0,0,0,0.08,0.21,0.34,0,0
Total Long-Term Assets,290.72,288.81,287.7,287.51,287.59,287.72,287.84,287.5,0
Total Assets,290.91,289.19,288.3,288.35,288.44,288.54,288.45,289.26,0.3
Accounts Payable,4.63,1.09,0.17,0.26,0.28,0.33,0.31,0.7,0.24
Current Debt,1.78,1.26,1.26,1.27,0.96,0.37,0,0,0.04
Other Current Liabilities,0.33,0.53,0,0,0,0,0,0,0
Total Current Liabilities,6.74,2.88,1.43,1.53,1.23,0.7,0.31,0.7,0.28
Other Long-Term Liabilities,12.15,2.64,3.02,5.79,12.65,12.75,23.19,18.33,0
Total Long-Term Liabilities,12.15,2.64,3.02,5.79,12.65,12.75,23.19,18.33,0
Total Liabilities,18.89,5.52,4.44,7.32,13.88,13.45,23.49,19.03,0.28
Total Debt,1.78,1.26,1.26,1.27,0.96,0.37,0,0,0.04
Debt Growth,86.14%,245.21%,-,-,2091.62%,-,-,-,-
Common Stock,0,0,0,0,0,0,10.19,4.91,0.03
Retained Earnings,-18.33,-4.58,-3.73,-6.47,-12.94,-12.41,-5.19,0.09,-0
Shareholders' Equity,-18.33,-4.58,-3.72,-6.47,-12.94,-12.41,5,5,0.02
Total Liabilities and Equity,0.56,0.94,0.72,0.85,0.94,1.04,28.49,24.03,0.3
Net Cash / Debt,-1.68,-1.12,-1.05,-0.9,-0.63,-0.07,0.09,0.78,-0.03
Net Cash Per Share,-0.05,-0.03,-0.03,-0.03,-0.02,-0.00,0.00,0.05,-0.01
Working Capital,-6.55,-2.5,-0.83,-0.69,-0.39,0.12,0.3,1.06,0.02
Book Value Per Share,-0.51,-0.13,-0.10,-0.18,-0.34,-0.34,0.14,0.31,0.01
