Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30
Cash & Equivalents,862.3,"1,176.4","1,035.7",873.7,813.4,"1,118.6",944.6,977.3,836.6,"1,108.1",926.5,880.4,802.2,796.5,773.7,731,739.9,916.6,796.1,703.8,665.4,794.2,699.7,683.7,-,323.2,-
Short-Term Investments,850.2,595.9,508.5,"1,317.1",663.8,702.3,690.5,487,442.9,482.7,449.2,851.3,799.4,"1,178.3",584.2,557.9,568.1,574.5,614.2,664.4,719.8,700.1,713.8,658.5,-,393.3,-
Cash & Cash Equivalents,"1,712.5","1,772.3","1,544.2","2,190.8","1,477.2","1,820.9","1,635.1","1,464.3","1,279.5","1,590.8","1,375.7","1,731.7","1,601.6","1,974.8","1,357.9","1,288.9","1,308","1,491.1","1,410.3","1,368.2","1,385.2","1,494.3","1,413.5","1,342.2",0,716.5,0
Cash Growth,15.93%,-2.67%,-5.56%,49.61%,15.45%,14.46%,18.86%,-15.44%,-20.11%,-19.45%,1.31%,34.35%,22.45%,32.44%,-3.72%,-5.80%,-5.57%,-0.21%,-0.23%,1.94%,-,108.56%,-,-,-,-,-
Receivables,459,318.6,454.4,443.9,578.9,436,540.2,613.9,603.5,488.3,490.7,478.9,497.5,466.5,564.7,457.2,564.9,453.6,507.7,519.4,584.7,659.5,579,346.3,-,307.6,-
Other Current Assets,121.5,123.9,116.4,153.9,149.8,152.3,124,108.8,115.9,114.6,115.3,128,145.4,139.5,103.7,113.7,87.8,74.4,78.4,78.8,82.3,88.8,81.2,372.8,-,36.6,-
Total Current Assets,"2,293","2,214.8","2,115","2,788.6","2,205.9","2,409.2","2,299.3","2,187","1,998.9","2,193.7","1,981.7","2,338.6","2,244.5","2,580.8","2,026.3","1,859.8","1,960.7","2,019.1","1,996.4","1,966.4","2,052.2","2,242.6","2,073.7","2,061.3",-,"1,060.7",-
"Property, Plant & Equipment",49.8,51.8,49,52.6,54.6,63.3,63.7,66.4,74,77.9,81.4,82.5,84,84.7,74.4,72.6,72.6,69.5,65,65,69.4,70.6,74.3,76.5,-,41.2,-
Goodwill and Intangibles,"3,691.9","3,667.8","3,631.5","3,715.4","3,805.7","3,884.2","3,991.7","4,027.2","4,071.7","4,070.2","3,999.4","3,949","3,958.8","4,592.9","4,518.4","4,567.1","4,619","4,601.3","4,641.3","4,672.5","4,754.1","4,738.7","4,708.5","4,677",-,"1,142.8",-
Other Long-Term Assets,321.4,303.4,328.6,343,357.1,345.7,348.5,349.9,350.1,349,364.6,355.1,356.6,363.3,346.8,360.6,370.8,222,220.8,219.5,228.3,220.8,230.7,218,-,188.7,-
Total Long-Term Assets,"4,063.1","4,023","4,009.1","4,111","4,217.4","4,293.2","4,403.9","4,443.5","4,495.8","4,497.1","4,445.4","4,386.6","4,399.4","5,040.9","4,939.6","5,000.3","5,062.4","4,892.8","4,927.1","4,957","5,051.8","5,030.1","5,013.5","4,971.5",-,"1,372.7",-
Total Assets,"6,356.1","6,237.8","6,124.1","6,899.6","6,423.3","6,702.4","6,703.2","6,630.5","6,494.7","6,690.8","6,427.1","6,725.2","6,643.9","7,621.7","6,965.9","6,860.1","7,023.1","6,911.9","6,923.5","6,923.4","7,104","7,272.7","7,087.2","7,032.8",-,"2,433.4",-
Accounts Payable,425.2,309.7,459.4,394.4,519.4,365.6,421.9,458.2,510.7,356.8,417.2,533.4,518.4,434,513.8,431.6,549,383,402.6,406.6,554.4,549.2,511.4,354.5,-,305.8,-
Current Debt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,9.5,57.2,83.3,115.4,-,0,-
