Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
Cash & Equivalents,264.02,168.35,163.81,165.51,349.9,295.42,86.01,363.16,460.85,323.28,112.29,156.35,109.24,150.74,107.06,84.85,82.7,137.91,51.88,78.38,49.36,116.41,39.18,52.29,58.65,44.73,34.24,116.77,107.87,43.41,56.54,119.93,39.96,26.83,-,-,-,19.27
Cash & Cash Equivalents,264.02,168.35,163.81,165.51,349.9,295.42,86.01,363.16,460.85,323.28,112.29,156.35,109.24,150.74,107.06,84.85,82.7,137.91,51.88,78.38,49.36,116.41,39.18,52.29,58.65,44.73,34.24,116.77,107.87,43.41,56.54,119.93,39.96,26.83,0,0,0,19.27
Cash Growth,-24.54%,-43.01%,90.46%,-54.42%,-24.08%,-8.62%,-23.41%,132.27%,321.86%,114.46%,4.88%,84.26%,32.10%,9.31%,106.38%,8.25%,67.55%,18.47%,32.40%,49.89%,-15.84%,160.26%,14.43%,-55.22%,-45.63%,3.05%,-39.43%,-2.63%,169.93%,61.77%,-,-,-,39.25%,-,-,-,-
"Property, Plant & Equipment",64.07,63.18,63.77,64.31,63,58.16,56.61,57.58,57.93,58.59,59.24,63.96,29.66,29.28,27.09,27.58,27.01,15.11,10.02,10.54,10.42,8.78,8.97,9.13,9.13,9.28,9.54,9.22,9.18,9.23,12.25,12.35,2.05,2.18,-,-,-,2.77
Goodwill and Intangibles,102.06,102.59,103.11,103.94,105.53,72.1,72.9,73.33,63.16,63.6,63.69,64.04,54.97,55.19,55.25,55.64,57.19,57.37,36.53,36.79,37.18,8.83,8.9,8.97,9.03,9.1,9.17,9.24,9.31,5.93,6.23,5.73,0,0,-,-,-,0
Total Assets,"6,289.98","5,990.46","5,806.69","5,530.38","5,362.24","4,726.38","4,405.22","4,323.96","4,443.59","4,160.36","3,954.67","3,961.14","2,287.66","2,273.84","2,220.84","2,153.61","2,101.4","2,094.9","1,678.2","1,649.21","1,587.71","1,321.26","1,213.83","1,169.09","1,158.26","1,105.84","1,106.77","1,174.14","1,156.2","1,076.09","1,066.78","1,106.73",734.9,684.5,-,-,-,684.18
Total Liabilities,"5,692.29","5,409.98","5,298.69","5,084.92","4,905.4","4,293.01","3,975","3,892.95","4,026.89","3,750.4","3,556.58","3,574.8","2,005.63","1,988.74","1,940.5","1,876.14","1,832.26","1,834.84","1,465.23","1,438.58","1,407.72","1,141.32","1,093.77","1,050.27","1,042.06",992.28,989.22,"1,058.02","1,041.21",963.64,954.67,994.12,654.37,605.66,-,-,-,612.26
Total Debt,852.03,560.12,677.04,393.56,219.53,187.59,177.73,140.31,137.01,105.99,290.66,294.59,182.73,185.99,184.04,149.1,66.07,92.23,102.57,102.17,94,80.5,71.96,72.4,73.48,53.65,53.65,53.65,54.49,54.58,85.01,62.24,25,15,-,-,-,15
Debt Growth,288.11%,198.59%,280.94%,180.50%,60.23%,76.99%,-38.85%,-52.37%,-25.02%,-43.01%,57.94%,97.58%,176.57%,101.66%,79.42%,45.94%,-29.71%,14.57%,42.54%,41.11%,27.93%,50.06%,34.14%,34.95%,34.83%,-1.71%,-36.89%,-13.80%,117.97%,263.86%,-,-,-,-,-,-,-,-
Common Stock,491.93,490.73,442.34,368.96,368.42,312.67,312.23,319.76,321.09,320.16,320.43,318.27,220.03,225.78,225.38,227.18,226.9,225.55,182.88,182.73,154.71,154.4,92.07,92,91.93,92.05,93.17,93.12,93.07,92.95,93.27,95.19,62.66,62.54,-,-,-,62.06
Retained Earnings,173.76,163.96,150.34,139.23,128.17,121.87,112.24,104.38,89.44,79.17,67.4,59.85,59.86,56.7,52.27,48.09,42.58,37.98,35.46,32.48,29.67,27.18,28.38,27.12,25.48,23.84,23.21,22.18,21.69,20.29,19.29,19.1,18.08,16.95,-,-,-,12.92
Comprehensive Income,-68,-74.2,-84.67,-62.73,-39.75,-1.18,5.75,6.87,6.17,10.63,10.26,8.21,2.14,2.61,2.7,2.2,-0.33,-3.47,-5.38,-4.58,-4.39,-1.64,-0.39,-0.3,-1.21,-2.33,1.17,0.82,0.23,-0.79,-0.45,-1.69,-0.22,-0.64,-,-,-,-3.05
Shareholders' Equity,597.69,580.48,508,445.46,456.84,433.37,430.22,431.01,416.7,409.96,398.09,386.34,282.03,285.1,280.34,277.47,269.14,260.06,212.96,210.63,179.99,179.94,120.06,118.81,116.2,113.56,117.55,116.12,114.99,112.45,112.11,112.61,80.52,78.85,-,-,-,71.92
Total Liabilities and Equity,"6,289.98","5,990.46","5,806.69","5,530.38","5,362.24","4,726.38","4,405.22","4,323.96","4,443.59","4,160.36","3,954.67","3,961.14","2,287.66","2,273.84","2,220.84","2,153.61","2,101.4","2,094.9","1,678.2","1,649.21","1,587.71","1,321.26","1,213.83","1,169.09","1,158.26","1,105.84","1,106.77","1,174.14","1,156.2","1,076.09","1,066.78","1,106.73",734.9,684.5,-,-,-,684.18
Net Cash / Debt,-588.01,-391.78,-513.23,-228.05,130.37,107.83,-91.72,222.85,323.84,217.29,-178.37,-138.24,-73.48,-35.25,-76.98,-64.24,16.63,45.68,-50.7,-23.78,-44.64,35.91,-32.78,-20.11,-14.83,-8.92,-19.41,63.12,53.38,-11.17,-28.47,57.69,14.96,11.83,0,0,0,4.27
Net Cash / Debt Growth,-,-,-,-,-59.74%,-50.38%,-,-,-,-,-,-,-,-,-,-,-,27.20%,-,-,-,-,-,-,-,-,-,9.41%,256.75%,-,-,-,-,177.16%,-,-,-,-
Book Value Per Share,23.80,23.12,22.50,19.74,22.39,21.25,20.97,20.73,20.14,19.84,19.26,18.69,20.99,21.47,20.97,20.77,20.20,22.55,18.46,20.50,17.59,17.59,17.32,17.14,16.81,16.13,16.70,16.50,16.34,15.98,15.56,15.65,15.15,14.84,-,-,-,-
