Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-24
Cash & Equivalents,0.58,0.76,0.89,1.12,1.23,1.28,0.07,0.02
Cash & Cash Equivalents,0.58,0.76,0.89,1.12,1.23,1.28,0.07,0.02
Cash Growth,-53.07%,-40.39%,1231.14%,4478.80%,-,-,-,-
Other Current Assets,0.09,0.14,0.19,0.19,0.19,0.2,-,-
Total Current Assets,0.67,0.9,1.08,1.31,1.41,1.48,-,-
Long-Term Investments,202.89,201.2,200.3,200.03,200.01,200,-,-
Other Long-Term Assets,0,0,0,0.05,0.09,0.14,-,-
Total Long-Term Assets,202.89,201.2,200.3,200.07,200.1,200.14,-,-
Total Assets,203.56,202.1,201.37,201.38,201.51,201.62,0.29,0.11
Accounts Payable,2.73,2.76,2.58,1.29,0.42,0,0.22,0.05
Other Current Liabilities,0.02,0.02,0.02,0.02,0.02,0.03,0.06,0.04
Total Current Liabilities,2.75,2.77,2.6,1.3,0.44,0.04,0.28,0.09
Other Long-Term Liabilities,7.77,8.02,7.96,10.84,14.55,15.38,0,0
Total Long-Term Liabilities,7.77,8.02,7.96,10.84,14.55,15.38,0,0
Total Liabilities,10.52,10.8,10.56,12.14,14.98,15.42,0.28,0.09
Common Stock,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-9.85,-9.89,-9.48,-10.76,-13.47,-13.79,-0.01,-0
Shareholders' Equity,-9.85,-9.89,-9.48,-10.76,-13.47,-13.79,0.01,0.02
Total Liabilities and Equity,0.67,0.9,1.08,1.38,1.51,1.62,0.29,0.11
Net Cash / Debt,0.58,0.76,0.89,1.12,1.23,1.28,0.07,0.02
Net Cash / Debt Growth,-53.07%,-40.39%,1231.14%,4478.80%,-,-,-,-
Net Cash Per Share,0.02,0.03,0.04,0.04,0.07,0.05,0.01,0.00
Working Capital,-2.08,-1.87,-1.52,0,0.98,1.44,-,-
Book Value Per Share,-0.39,-0.40,-0.38,-0.43,-0.76,-0.58,0.00,0.00
