Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+69 Quarters
Cash & Equivalents,60.77,24.84,38.7,23.41,60.12,85.68,88.25,70.27,71.63,74,66.47,116.03,84.25,48.23,54.52,70.63,61.46,67.36,78.93,43.3,50.57,47.17,49.22,72.83,125.3,82.81,39.44,51.21,111.48,111.36,156.15,81.4,30.68,32.08,85.14,118.94,193.47,181.79,156.99,193.84,Upgrade
Cash & Cash Equivalents,60.77,24.84,38.7,23.41,60.12,85.68,88.25,70.27,71.63,74,66.47,116.03,84.25,48.23,54.52,70.63,61.46,67.36,78.93,43.3,50.57,47.17,49.22,72.83,125.3,82.81,39.44,51.21,111.48,111.36,156.15,81.4,30.68,32.08,85.14,118.94,193.47,181.79,156.99,193.84,Upgrade
Cash Growth,1.08%,-71.01%,-56.15%,-66.68%,-16.07%,15.78%,32.77%,-39.44%,-14.98%,53.42%,21.92%,64.28%,37.09%,-28.39%,-30.93%,63.12%,21.52%,42.79%,60.37%,-40.54%,-59.64%,-43.04%,24.78%,42.22%,12.39%,-25.64%,-74.74%,-37.10%,263.43%,247.15%,83.40%,-31.56%,-84.14%,-82.35%,-45.77%,-38.64%,-12.19%,82.46%,59.40%,33.56%,Upgrade
"Property, Plant & Equipment",9.19,8.91,8.71,8.83,8.96,8.94,9.01,9.38,9.61,9.98,10.1,10.25,10.61,10.97,11.22,8.23,8.4,8.6,9.3,9.6,9.52,8.44,7.33,8.26,9.12,8.72,9.38,8.75,8.61,10.07,8.93,7.82,8.81,9.3,8.69,8.84,8.91,9.96,9.87,8.99,Upgrade
Total Assets,"1,335.28","1,271.04","1,245.92","1,187.04","1,187.83","1,182.41","1,192.28","1,183.6","1,189.3","1,170.73","1,184.03","1,176.84","1,107.57","1,107.39","1,105.3","1,084.85","1,119.4","1,127.17","1,157.48","1,175.55","1,176.6","1,162.13","1,193.79","1,200.63","1,199.45","1,192.16","1,242.51","1,171.38","1,173.75","1,164.54","1,177.24","1,174.56","1,213.79","1,112.39","1,106.85","1,105.63","1,125.12","1,134.06","1,153.03","1,211.04",Upgrade
Accounts Payable,17.82,16.5,16.4,17.88,16.72,18.12,17.3,17.36,18.79,19.76,18.66,18.85,17.51,18.88,20.3,21.83,20.18,20.47,22.54,21.33,22.33,22.45,20.64,19.66,18.3,19.66,19.51,20.25,19.72,17.59,21.77,17.97,22.65,21.13,18.04,20.47,16.21,16.39,20.3,21.57,Upgrade
Total Liabilities,"1,205.87","1,141.8","1,116.73","1,058.39","1,060.22","1,054.47","1,064.05","1,056.32","1,063.55","1,045.74","1,059.37","1,052.86",984.41,983.61,983.13,964.21,998.19,"1,004.49","1,035.8","1,055.09","1,056","1,041.43","1,068.87","1,072.4","1,067.85","1,059.6","1,109.29","1,037.93","1,038.1","1,026.68","1,037.98","1,033.42","1,071.93",968.04,961.89,959.77,975.16,981.61,995.87,"1,051.07",Upgrade
Total Debt,205.01,180,115,85,80,80,90,100.98,111,116.02,136.03,141.05,131.07,131.09,131.09,101.11,101.12,111.14,111.15,126.16,111.18,111.19,121.21,126.23,111.24,111.26,146.28,91.3,91.32,91.33,91.35,91.37,131.38,41.4,41.42,41.43,51.45,51.46,56.48,106.49,Upgrade
Debt Growth,156.26%,125.00%,27.78%,-15.83%,-27.93%,-31.04%,-33.84%,-28.40%,-15.31%,-11.50%,3.77%,39.50%,29.62%,17.95%,17.94%,-19.86%,-9.04%,-0.05%,-8.30%,-0.05%,-0.06%,-0.07%,-17.14%,38.26%,21.82%,21.82%,60.13%,-0.07%,-30.50%,120.61%,120.57%,120.53%,155.38%,-19.55%,-26.67%,-61.09%,-51.70%,-59.32%,-55.37%,-15.85%,Upgrade
Common Stock,-77.02,-75.84,-74.54,-74.03,-73.66,-72.69,-71.18,-70.53,-69.77,-70.02,-70.23,-70.47,-70.71,-70.06,-70.33,-70.36,-70.06,-69.8,-69.91,-70.37,-69.89,-69.12,-66.76,-64.75,-61.47,-60.41,-59.28,-58.53,-54.7,-51.97,-50.66,-47.4,-45.3,-41.23,-39.24,-36.98,-31.83,-28.91,-23.63,-20.4,Upgrade
Retained Earnings,206.45,205.12,203.75,202.68,201.24,200.57,199.34,197.73,195.44,194.92,194.79,194.35,193.8,193.7,192.35,190.84,191.1,192.31,191.4,190.62,190.3,189.61,191.45,192.75,192.82,192.7,192.23,191.67,190.08,189.59,189.62,188.21,186.76,185.15,183.83,182.46,181.32,180.9,180.3,179.82,Upgrade
Comprehensive Income,-0.03,-0.03,-0.02,0,0.04,0.06,0.07,0.07,0.08,0.08,0.1,0.1,0.07,0.13,0.15,0.16,0.16,0.17,0.19,0.21,0.19,0.21,0.23,0.23,0.25,0.26,0.28,0.31,0.26,0.25,0.3,0.33,0.4,0.43,0.38,0.39,0.47,0.46,0.48,0.55,Upgrade
Shareholders' Equity,129.41,129.24,129.19,128.65,127.62,127.93,128.24,127.28,125.75,124.98,124.66,123.98,123.16,123.78,122.17,120.64,121.21,122.68,121.68,120.46,120.6,120.7,124.92,128.23,131.59,132.56,133.22,133.45,135.65,137.87,139.25,141.14,141.86,144.35,144.96,145.86,149.96,152.45,157.16,159.97,Upgrade
Total Liabilities and Equity,"1,335.28","1,271.04","1,245.92","1,187.04","1,187.83","1,182.41","1,192.28","1,183.6","1,189.3","1,170.73","1,184.03","1,176.84","1,107.57","1,107.39","1,105.3","1,084.85","1,119.4","1,127.17","1,157.48","1,175.55","1,176.6","1,162.13","1,193.79","1,200.63","1,199.45","1,192.16","1,242.51","1,171.38","1,173.75","1,164.54","1,177.24","1,174.56","1,213.79","1,112.39","1,106.85","1,105.63","1,125.12","1,134.06","1,153.03","1,211.04",Upgrade
