Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31
Cash & Equivalents,37.68,32.72,37.48,40.75,32.71,813.16,31.72,31.47,16.84,18.97,14.14,26.51,14.12,16.56,22.06,18.74,21.18,16.32,16.84,91.45,-,13.79,-,-,86.98
Cash & Cash Equivalents,37.68,32.72,37.48,40.75,32.71,813.16,31.72,31.47,16.84,18.97,14.14,26.51,14.12,16.56,22.06,18.74,21.18,16.32,16.84,91.45,0,13.79,0,0,86.98
Cash Growth,15.20%,-95.98%,18.16%,29.48%,94.19%,4187.69%,124.41%,18.72%,19.24%,14.56%,-35.92%,41.50%,-33.30%,1.47%,31.02%,-79.51%,-,18.34%,-,-,-,-,-,-,-
"Property, Plant & Equipment",22.84,23.23,23.76,24.24,23.97,23.32,23.6,23.84,24.09,24.23,24.26,24.3,22.42,21.6,21.83,21.86,22.32,13.17,12.85,12.96,-,13.12,-,-,13.1
Total Assets,"3,451.03","3,144.47","3,133.74","2,969.72","2,833.75","2,635.52","2,451.57","2,007.14","2,029.36","1,766.12","1,749.62","1,678.96","1,184.07","1,128.53","1,090.06","1,031.02","1,116.09",952.11,917.03,850.92,-,805.75,-,-,740.61
Total Liabilities,"3,192.27","2,900.97","2,905.01","2,752.06","2,625.83","2,434.3","2,290.48","1,853.04","1,882.62","1,625.91","1,614.39","1,547.98","1,056.91","1,004.35",969.64,914.43,"1,003.73",842.95,811.75,781.43,-,740.04,-,-,680.71
Total Debt,52.64,52.82,33.45,33.7,33.95,59.19,59.44,45.43,204.2,199.62,248.75,236.56,46.98,32.24,42.4,42.65,23.02,33.55,33.54,33.54,-,33.53,-,-,28.51
Debt Growth,55.07%,-10.76%,-43.73%,-25.82%,-83.38%,-70.35%,-76.11%,-80.80%,334.63%,519.13%,486.61%,454.62%,104.10%,-3.89%,26.42%,27.18%,-,0.05%,-,-,-,-,-,-,-
Common Stock,127.45,125.83,123.94,123.23,122.59,121.85,89,88.7,88.33,87.82,87.48,87.31,87.17,86.98,86.87,86.73,86.58,86.43,86.33,52.95,-,52.52,-,-,52.22
Retained Earnings,133.12,120,106.88,95.78,85.6,79.37,72.08,65.4,58.39,52.37,47.71,43.62,39.95,37.22,33.61,30.1,26.83,24.02,20.97,18.36,-,14.13,-,-,8.7
Comprehensive Income,-1.81,-2.33,-2.09,-1.34,-0.28,0,0.01,0,0.02,0.03,0.05,0.05,0.05,-0.03,-0.06,-0.24,-1.04,-1.3,-2.02,-1.82,-,-0.94,-,-,-1.02
Shareholders' Equity,258.76,243.49,228.73,217.66,207.92,201.22,161.09,154.1,146.74,140.22,135.23,130.98,127.17,124.17,120.42,116.59,112.37,109.16,105.28,69.49,-,65.71,-,-,59.9
Total Liabilities and Equity,"3,451.03","3,144.47","3,133.74","2,969.72","2,833.75","2,635.52","2,451.57","2,007.14","2,029.36","1,766.12","1,749.62","1,678.96","1,184.07","1,128.53","1,090.06","1,031.02","1,116.09",952.11,917.03,850.92,-,805.75,-,-,740.61
Net Cash / Debt,-14.97,-20.1,4.04,7.05,-1.24,753.97,-27.72,-13.96,-187.36,-180.65,-234.61,-210.05,-32.86,-15.69,-20.34,-23.92,-1.84,-17.23,-16.71,57.91,0,-19.74,0,0,58.46
Net Cash Per Share,-1.10,-1.48,0.30,0.52,-0.09,59.42,-2.22,-1.12,-15.12,-14.70,-19.26,-17.23,-2.69,-1.29,-1.67,-1.96,-0.15,-1.40,-1.44,6.24,-,-2.14,-,-,-
Book Value Per Share,19.61,18.68,17.68,16.84,16.12,16.57,13.42,12.86,12.27,11.75,11.35,10.99,10.68,10.43,10.12,9.80,9.46,9.18,9.29,7.50,-,7.11,-,-,6.50
