Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.14,0.12,0.2,0.29,0.51,1.12,1.21,1.27,1.35,0
Cash & Cash Equivalents,0.14,0.12,0.2,0.29,0.51,1.12,1.21,1.27,1.35,0
Cash Growth,-71.81%,-89.60%,-83.52%,-76.94%,-62.07%,-,-,-,-,-
Other Current Assets,0.14,0.03,0.15,0.26,0.3,0.06,0.24,0.44,0.62,0
Total Current Assets,0.29,0.15,0.34,0.56,0.81,1.19,1.46,1.71,1.98,0
Long-Term Investments,22.37,"1,050.32","1,041.6","1,036.96","1,035.37","1,035.21","1,035.11","1,035.02","1,035",0
Other Long-Term Assets,0,0,0,0,0,0,0,0,0,0.2
Total Long-Term Assets,22.37,"1,050.32","1,041.6","1,036.96","1,035.37","1,035.21","1,035.11","1,035.02","1,035",0.2
Total Assets,22.66,"1,050.47","1,041.94","1,037.52","1,036.19","1,036.4","1,036.57","1,036.72","1,036.98",0.2
Accounts Payable,0,0,0,0,0,0,0,0.27,0.17,0
Current Debt,0,0,0,0,0,0,0,0,0,0.03
Other Current Liabilities,4.09,3.8,3.91,5.07,4.81,0.65,0.43,0,0,0.15
Total Current Liabilities,4.09,3.8,3.91,5.07,4.81,0.65,0.43,0.27,0.17,0.18
Long-Term Debt,0.5,0,0,0,0,0,0,0,0,0
Other Long-Term Liabilities,18.58,38.83,39.95,45.53,54.47,74.62,79.03,83.24,79.52,0
Total Long-Term Liabilities,19.08,38.83,39.95,45.53,54.47,74.62,79.03,83.24,79.52,0
Total Liabilities,23.18,42.63,43.85,50.6,59.28,75.27,79.47,83.51,79.69,0.18
Total Debt,0.5,0,0,0,0,0,0,0,0,0.03
Common Stock,0,0,0,0,0,0,0,21.73,17.65,0.03
Retained Earnings,-22.89,-42.49,-43.51,-50.04,-58.09,-73.87,-77.9,-16.73,-12.65,-0.01
Shareholders' Equity,-22.89,-42.49,-43.51,-50.04,-58.09,-73.87,-77.9,5,5,0.02
Total Liabilities and Equity,0.29,0.15,0.34,0.56,1.19,1.4,1.57,88.51,84.69,0.2
Net Cash / Debt,-0.36,0.12,0.2,0.29,0.51,1.12,1.21,1.27,1.35,-0.03
Net Cash / Debt Growth,-,-89.60%,-83.52%,-76.94%,-62.07%,-,-,-,-,-
Net Cash Per Share,-0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.02,-0.00
Working Capital,-3.8,-3.66,-3.56,-4.51,-3.99,0.54,1.02,1.44,1.81,-0.18
Book Value Per Share,-0.34,-0.33,-0.34,-0.39,-0.45,-0.57,-0.60,0.04,0.06,0.00
