Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.01,0.02,0,0.02,0.01,0.03,0.17,0.24,0.03
Cash & Cash Equivalents,0.01,0.02,0,0.02,0.01,0.03,0.17,0.24,0.03
Cash Growth,41.37%,-36.04%,-97.68%,-89.48%,-72.45%,-,-,-,-
Other Current Assets,0.06,0.2,0.33,0.46,0.44,0.45,0.48,0.88,0.23
Total Current Assets,0.07,0.22,0.33,0.48,0.45,0.49,0.65,1.12,0.26
Long-Term Investments,262.22,260.03,259.15,258.8,258.78,258.77,258.77,258.76,0
Other Long-Term Assets,0,0,0,0,0.05,0.16,0.27,0,0
Total Long-Term Assets,262.22,260.03,259.15,258.8,258.83,258.93,259.04,258.76,0
Total Assets,262.29,260.25,259.48,259.28,259.27,259.42,259.68,259.88,0.26
Accounts Payable,3.02,0.59,0.61,0.66,0.86,0.15,0.19,0,0.13
Current Debt,1.01,0.7,0.88,0.68,0.24,0.18,0.18,0.18,0.11
Other Current Liabilities,0.71,0.26,0,0,0,0,0,0,0
Total Current Liabilities,4.74,1.55,1.49,1.35,1.09,0.32,0.37,0.18,0.24
Other Long-Term Liabilities,0.03,0.03,0.07,0.2,0.37,0.41,0.46,0.31,0
Total Long-Term Liabilities,0.03,0.03,0.07,0.2,0.37,0.41,0.46,0.31,0
Total Liabilities,4.78,1.58,1.56,1.55,1.47,0.73,0.83,0.49,0.24
Total Debt,1.01,0.7,0.88,0.68,0.24,0.18,0.18,0.18,0.11
Debt Growth,329.59%,297.35%,398.49%,289.12%,122.11%,-,-,-,-
Common Stock,0,0,0.21,0.34,0.34,0.34,5.24,4.7,0.03
Retained Earnings,-3.91,-1.06,-1.16,-1.36,-1.28,-0.4,-0.24,0.3,-0
Shareholders' Equity,-3.9,-1.06,-0.95,-1.02,-0.94,-0.06,5,5,0.02
Total Liabilities and Equity,0.87,0.52,0.61,0.53,0.52,0.67,5.83,5.49,0.26
Net Cash / Debt,-1,-0.68,-0.87,-0.66,-0.23,-0.14,-0,0.06,-0.08
Net Cash Per Share,-0.03,-0.02,-0.03,-0.02,-0.01,-0.00,-0.00,0.00,-
Working Capital,-4.67,-1.33,-1.16,-0.87,-0.64,0.17,0.28,0.94,0.02
Book Value Per Share,-0.12,-0.03,-0.03,-0.03,-0.03,-0.00,0.15,0.26,0.00
