Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2017-12-31
Cash & Equivalents,5.3,9.78,12.7,21.7,13.98,22.4,20.71,19.86,12.88,36.24,40.25,56.96,53.21,37.84,79.59,14.25,-,20.98,-,-,11.77
Cash & Cash Equivalents,5.3,9.78,12.7,21.7,13.98,22.4,20.71,19.86,12.88,36.24,40.25,56.96,53.21,37.84,79.59,14.25,0,20.98,0,0,11.77
Cash Growth,-62.13%,-56.36%,-38.67%,9.25%,8.58%,-38.20%,-48.54%,-65.13%,-75.80%,-4.23%,-49.43%,299.64%,-,80.34%,-,-,-,-,-,-,-
Receivables,268.01,249.63,245.47,232.46,233.54,212.82,206.7,197.83,194.59,177.54,168.38,160.57,153.07,144.14,144.77,148.13,-,138.47,-,-,145.95
Goodwill and Intangibles,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.66,1.68,-,1.72,-,-,1.88
Total Assets,790.99,770.08,767.49,764.21,780.9,788.01,787.22,774.95,759.34,768.76,752.2,744.75,712.76,721.78,806.7,673.52,-,654.97,-,-,666.41
Total Liabilities,675.4,658.74,648.68,629.35,628.89,615.1,609.41,590.26,578.66,573.53,553.04,544.71,516.17,509.37,498.02,492.29,-,482.78,-,-,470.21
Total Debt,39.67,37.19,34.78,33,26,26.38,26.76,27.65,28.72,30.48,28.17,25.06,22.17,20.6,18.88,17.18,-,13.37,-,-,0
Debt Growth,52.62%,40.98%,29.96%,19.35%,-9.50%,-13.45%,-4.98%,10.33%,29.57%,47.95%,49.21%,45.90%,-,54.12%,-,-,-,-,-,-,-
Common Stock,39.86,39.86,39.86,39.86,39.86,39.86,39.86,39.86,39.86,39.86,39.86,39.86,39.86,39.86,132.83,0,-,0,-,-,0
Retained Earnings,99.59,101.66,109.02,114.11,116.46,122.12,125.96,131.55,132.71,138.78,145.2,148.46,155.23,163.81,165.76,174.3,-,174.56,-,-,188.41
Comprehensive Income,-23.86,-30.17,-30.06,-19.1,-4.3,10.93,11.99,13.29,8.12,16.6,14.11,11.74,1.5,8.76,10.09,6.94,-,-2.37,-,-,7.8
Shareholders' Equity,115.59,111.34,118.82,134.86,152.02,172.9,177.81,184.69,180.68,195.23,199.17,200.05,196.59,212.42,308.68,181.23,-,172.19,-,-,196.2
Total Liabilities and Equity,790.99,770.08,767.49,764.21,780.9,788.01,787.22,774.95,759.34,768.76,752.2,744.75,712.76,721.78,806.7,673.52,-,654.97,-,-,666.41
Net Cash / Debt,-34.38,-27.41,-22.08,-11.3,-12.01,-3.98,-6.05,-7.79,-15.85,5.76,12.09,31.91,31.04,17.24,60.71,-2.92,0,7.62,0,0,11.77
Net Cash / Debt Growth,-,-,-,-,-,-,-,-,-,-66.57%,-80.09%,-,-,126.33%,-,-,-,-,-,-,-
Net Cash Per Share,-2.31,-1.84,-1.48,-0.76,-0.81,-0.27,-0.41,-0.52,-1.07,0.39,0.81,2.14,2.09,1.16,4.08,-0.20,-,0.51,-,-,-
Book Value Per Share,7.77,7.49,7.99,9.07,10.22,11.62,11.95,12.42,12.15,13.13,13.39,13.45,13.22,14.28,20.75,12.18,-,11.58,-,-,-
