Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Cash & Equivalents,9.45,10.98,9.23,25.85,30.91,36.87,53.13,62.8,40.21,22.09,-,-,-,24.59
Cash & Cash Equivalents,9.45,10.98,9.23,25.85,30.91,36.87,53.13,62.8,40.21,22.09,0,0,0,24.59
Cash Growth,-69.43%,-70.21%,-82.63%,-58.84%,-23.13%,66.92%,-,-,-,-10.17%,-,-,-,-
"Property, Plant & Equipment",7.26,6.3,6.33,6.27,6.34,6.22,6.29,6.35,6.36,6.38,-,-,-,6.08
Goodwill and Intangibles,0.36,0.4,0.43,0.46,0.5,0.53,0.56,0.6,0.63,0.66,-,-,-,0.79
Total Assets,418.01,417.35,375.7,373.74,368.99,364.83,358.87,349.98,316.5,299.64,-,-,-,267.56
Total Liabilities,362.56,361.48,320.07,317.49,310.91,304.69,298.3,318.39,284.74,267.7,-,-,-,236.51
Total Debt,62.33,62.49,35.02,26.53,27.05,27.57,28.09,29.64,30.21,30.77,-,-,-,31.14
Debt Growth,130.40%,126.67%,24.68%,-10.49%,-10.44%,-10.39%,-,-,-,-1.20%,-,-,-,-
Common Stock,28.94,28.79,28.67,28.6,28.54,28.49,28.39,-0.75,-0.4,0,-,-,-,0
Retained Earnings,31.99,34.08,33.68,33.14,32.72,32.33,32.04,32.24,32.05,31.81,-,-,-,31.06
Comprehensive Income,-5.48,-7,-6.72,-5.49,-3.18,-0.69,0.14,0.1,0.11,0.13,-,-,-,-0.01
Shareholders' Equity,55.45,55.87,55.63,56.25,58.08,60.13,60.57,31.59,31.76,31.94,-,-,-,31.05
Total Liabilities and Equity,418.01,417.35,375.7,373.74,368.99,364.83,358.87,349.98,316.5,299.64,-,-,-,267.56
Net Cash / Debt,-52.88,-51.51,-25.79,-0.68,3.85,9.3,25.04,33.15,10,-8.68,0,0,0,-6.55
Net Cash / Debt Growth,-,-,-,-,-61.47%,-,-,-,-,-,-,-,-,-
Net Cash Per Share,-17.12,-16.84,-8.51,-0.23,1.28,3.09,8.35,-,-,-,-,-,-,-
Book Value Per Share,17.95,18.26,18.36,18.65,19.29,19.98,20.19,9.70,9.75,9.80,-,-,-,-
