Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Cash & Equivalents,0.77,0.83,1.02,0.4,0.46
Cash & Cash Equivalents,0.77,0.83,1.02,0.4,0.46
Cash Growth,64.90%,-,-,-,-
Receivables,0.02,0.02,0,0,0
Other Current Assets,0.53,0.65,0.76,0,0
Total Current Assets,1.32,1.5,1.79,0.41,0.47
Long-Term Investments,177.56,176.05,175.26,0,0
Other Long-Term Assets,0,0,0,0.38,0.11
Total Long-Term Assets,177.56,176.05,175.26,0.38,0.11
Total Assets,178.88,177.55,177.05,0.79,0.57
Accounts Payable,0,0,0.02,0.01,0
Current Debt,0,0,0,0.55,0.55
Other Current Liabilities,0.73,0.36,0.2,0.22,0.01
Total Current Liabilities,0.73,0.36,0.22,0.78,0.56
Total Liabilities,0.73,0.36,0.22,0.78,0.56
Total Debt,0,0,0,0.55,0.55
Common Stock,0.01,1.16,1.74,0.03,0.03
Retained Earnings,1.22,0.27,-0.1,-0.02,-0.01
Shareholders' Equity,1.24,1.43,1.64,0.01,0.02
Total Liabilities and Equity,1.96,1.78,1.86,0.79,0.57
Net Cash / Debt,0.77,0.83,1.02,-0.14,-0.08
Net Cash Per Share,0.05,0.04,0.07,-0.04,-0.02
Working Capital,0.59,1.14,1.57,-0.37,-0.09
Book Value Per Share,0.08,0.07,0.12,0.00,0.01
