Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2019-12-31
Cash & Equivalents,17.05,15.22,38.51,66.38,96.45,82.6,51.15,37.89,-,5.05,-,-,11.75
Short-Term Investments,0.02,0.35,0.34,0.32,0.39,0.97,0.92,0.22,-,0.25,-,-,0.27
Cash & Cash Equivalents,17.07,15.57,38.85,66.71,96.85,83.57,52.07,38.11,0,5.31,0,0,12.02
Cash Growth,-82.38%,-81.38%,-25.38%,75.02%,-,1475.03%,-,-,-,-,-,-,-
Receivables,0.04,2.7,4.7,6.52,5.57,0.24,5.5,0.37,-,0.39,-,-,0.01
Other Current Assets,7.64,14.8,10.95,12.55,11.31,16.79,6.86,21.45,-,2.08,-,-,7.16
Total Current Assets,24.75,33.06,54.51,85.77,113.73,100.6,64.43,59.93,-,7.77,-,-,19.19
"Property, Plant & Equipment",69.8,130.42,246.29,250.48,293.43,216.01,122.9,68.66,-,56.65,-,-,37.06
Goodwill and Intangibles,0,0,5.9,6.14,6.37,0,68.84,0,-,0,-,-,0
Other Long-Term Assets,0.45,0.29,0.64,0.58,17.84,24.65,2.14,0.1,-,0.15,-,-,0.6
Total Long-Term Assets,70.25,130.71,252.84,257.2,317.63,240.67,193.89,68.75,-,56.79,-,-,37.66
Total Assets,94.99,163.77,307.35,342.97,431.35,341.27,258.31,128.69,-,64.57,-,-,56.84
Accounts Payable,4.94,9.61,4.06,12.05,14.82,5.75,3.37,2.74,-,1.75,-,-,2.36
Deferred Revenue,0,0,0,0,0,0,0,0.04,-,0,-,-,0
Current Debt,5.36,67.16,73.22,65.02,66.73,19.58,17.99,12.07,-,6.85,-,-,5
Other Current Liabilities,13.88,21.95,21.08,21.77,18.69,16.4,12.09,5.61,-,3.05,-,-,0.65
Total Current Liabilities,24.17,98.72,98.37,98.84,100.24,41.73,33.45,20.45,-,11.64,-,-,8.01
Long-Term Debt,85.95,84.59,96.52,110.75,103.19,75.25,7.37,7.47,-,1.36,-,-,7.7
Other Long-Term Liabilities,30.5,27.51,22.91,22.94,11.87,11.87,11.69,7.82,-,7.2,-,-,7.41
Total Long-Term Liabilities,116.44,112.09,119.43,133.69,115.06,87.12,19.06,15.29,-,8.57,-,-,15.11
Total Liabilities,140.62,210.81,217.79,232.53,215.3,128.84,52.51,35.75,-,20.21,-,-,23.12
Total Debt,91.31,151.75,169.73,175.77,169.92,94.83,25.36,19.54,-,8.21,-,-,12.7
Debt Growth,-46.26%,60.02%,569.21%,799.44%,-,1055.03%,-,-,-,-,-,-,-
Common Stock,303.35,293.77,290.58,288.31,285.91,281.82,233.82,113.06,-,69.28,-,-,54.07
Retained Earnings,-348.64,-340.46,-200.88,-177.71,-69.83,-69.4,-28.02,-20.12,-,-24.92,-,-,-20.35
Comprehensive Income,-0.34,-0.36,-0.14,-0.17,-0.03,0,0,0,-,0,-,-,0
Shareholders' Equity,-45.62,-47.05,89.56,110.43,216.05,212.42,205.8,92.94,-,44.36,-,-,33.72
Total Liabilities and Equity,94.99,163.77,307.35,342.97,431.35,341.27,258.31,128.69,-,64.57,-,-,56.84
Net Cash / Debt,-74.24,-136.18,-130.88,-109.06,-73.07,-11.26,26.7,18.57,0,-2.9,0,0,-0.68
Net Cash Per Share,-13.90,-,-,-,-17.80,-,-,-,-,-,-,-,-
Working Capital,0.57,-65.66,-43.86,-13.07,13.48,58.88,30.97,39.48,-,-3.87,-,-,11.18
Book Value Per Share,-8.54,-11.10,21.36,26.70,52.62,66.39,53.22,24.23,-,11.56,-,-,-
