Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Cash & Equivalents,0.17,0.19,0.37,0.48,0.75,0.92,1,1.15,1.35,0.04
Cash & Cash Equivalents,0.17,0.19,0.37,0.48,0.75,0.92,1,1.15,1.35,0.04
Cash Growth,-77.12%,-79.48%,-63.54%,-58.08%,-44.56%,2355.55%,-,-,-,-
Other Current Assets,0.04,0.05,0.13,0.2,0.22,0.28,0.36,0.43,0.46,-
Total Current Assets,0.21,0.24,0.49,0.68,0.96,1.2,1.36,1.58,1.81,-
Long-Term Investments,36.45,231.43,230.58,230.24,230.15,230.12,230.1,230.07,230.02,-
Total Long-Term Assets,36.45,231.43,230.58,230.24,230.15,230.12,230.1,230.07,230.02,-
Total Assets,36.67,231.67,231.08,230.93,231.12,231.33,231.46,231.64,231.83,0.08
Accounts Payable,0,0,0,0,0,0.24,0,0,0.1,0
Current Debt,0,0,0,0,0,0,0,0,0,0.01
Other Current Liabilities,0.78,0.4,0.29,0.23,0.32,0,0.18,0.15,0.05,0.04
Total Current Liabilities,0.78,0.4,0.29,0.23,0.32,0.24,0.18,0.15,0.15,0.06
Other Long-Term Liabilities,8.39,8.53,8.87,10.34,14.57,15.29,19.39,19.51,21.81,0
Total Long-Term Liabilities,8.39,8.53,8.87,10.34,14.57,15.29,19.39,19.51,21.81,0
Total Liabilities,9.16,8.93,9.16,10.57,14.89,15.53,19.57,19.66,21.95,0.06
Total Debt,0,0,0,0,0,0,0,0,0,0.01
Common Stock,0,0,0,0,0,0,7.13,7.04,0,0.03
Retained Earnings,-8.9,-8.19,-8.17,-9.65,-13.77,-14.21,-2.13,-2.04,-20.12,-0
Shareholders' Equity,-8.9,-8.19,-8.17,-9.65,-13.77,-14.21,5,5,-20.12,0.02
Total Liabilities and Equity,0.27,0.74,0.99,0.93,1.12,1.33,24.57,24.66,1.83,0.08
Net Cash / Debt,0.17,0.19,0.37,0.48,0.75,0.92,1,1.15,1.35,0.03
Net Cash / Debt Growth,-77.12%,-79.48%,-63.54%,-58.08%,-44.56%,3583.32%,-,-,-,-
Net Cash Per Share,0.01,0.01,0.01,0.02,0.03,0.03,0.03,0.04,0.09,0.00
Working Capital,-0.56,-0.15,0.2,0.46,0.64,0.96,1.18,1.43,1.66,-
Book Value Per Share,-0.34,-0.28,-0.28,-0.34,-0.48,-0.49,0.17,0.17,-1.30,0.00
