Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Cash & Equivalents,27.7,36.65,28.75,24.78,38.67,61.94,89.72,93.19,57.17,60.36,-,-,-,6.1
Cash & Cash Equivalents,27.7,36.65,28.75,24.78,38.67,61.94,89.72,93.19,57.17,60.36,0,0,0,6.1
Cash Growth,-28.38%,-40.84%,-67.96%,-73.40%,-32.36%,2.61%,-,-,-,890.17%,-,-,-,-
"Property, Plant & Equipment",10.75,10.85,10.13,9.82,9.64,9.48,9.27,8.75,8.54,8.58,-,-,-,8.54
Total Assets,417.54,423.23,406.08,384,353.48,354.71,372.63,376.2,334.13,331.4,-,-,-,298.06
Total Liabilities,316.96,323.05,307.56,285.3,254.89,254.98,273.78,318.4,277.49,274.52,-,-,-,244.66
Total Debt,35,25,15,0,0,18.5,33.5,33.5,43.5,53.5,-,-,-,51.5
Debt Growth,-,35.14%,-55.22%,-,-,-65.42%,-,-,-,3.88%,-,-,-,-
Common Stock,47.22,47.18,46.72,46.54,46.37,46.19,45.91,6.94,6.79,6.65,-,-,-,6.39
Retained Earnings,56.41,56.56,55.63,54.7,53.39,53.27,52.58,50.45,49.61,49.68,-,-,-,46.96
Comprehensive Income,-3.05,-3.56,-3.82,-2.55,-1.16,0.28,0.35,0.41,0.24,0.54,-,-,-,0.04
Shareholders' Equity,100.58,100.18,98.52,98.7,98.59,99.73,98.84,57.8,56.64,56.88,-,-,-,53.4
Total Liabilities and Equity,417.54,423.23,406.08,384,353.48,354.71,372.63,376.2,334.13,331.4,-,-,-,298.06
Net Cash / Debt,-7.3,11.65,13.75,24.78,38.67,43.44,56.22,59.69,13.67,6.86,0,0,0,-45.4
Net Cash / Debt Growth,-,-73.19%,-75.55%,-58.48%,182.80%,533.11%,-,-,-,-,-,-,-,-
Book Value Per Share,13.62,13.53,13.30,13.33,13.31,13.47,13.35,17.73,17.38,17.45,-,-,-,-
