Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31
Cash & Equivalents,28.8,34.2,10.8,17.8,10.4,54.5,122.9,39.9,38.5,73.6,40.9,37.4,7.7,17.2,32.1,9.5,10.5,47.3,56.2,11.8,12.1,52,32.2,8.1,12.3,36.2,53,-,-,15.1,-,28.6
Cash & Cash Equivalents,28.8,34.2,10.8,17.8,10.4,54.5,122.9,39.9,38.5,73.6,40.9,37.4,7.7,17.2,32.1,9.5,10.5,47.3,56.2,11.8,12.1,52,32.2,8.1,12.3,36.2,53,0,0,15.1,0,28.6
Cash Growth,176.92%,-37.25%,-91.21%,-55.39%,-72.99%,-25.95%,200.49%,6.68%,400.00%,327.91%,27.41%,293.68%,-26.67%,-63.64%,-42.88%,-19.49%,-13.22%,-9.04%,74.53%,45.68%,-1.63%,43.65%,-39.25%,-,-,139.74%,-,-,-,-,-,-
Receivables,199.7,163.5,210.8,273.4,218.8,199.1,244.4,266,235.3,173.5,217,250.4,214.6,161.4,201.2,260.7,235.6,172.9,221.5,251.3,239,165.2,219.3,271.9,317.5,252.2,198.5,-,-,146.2,-,138.4
Inventory,0,0,0,0,0,0,5.1,4.3,6.5,4.9,9.9,11,15.2,11.1,13.7,13,14.8,12.1,13.8,16.3,18.5,23.3,23.6,26,27.5,24.1,25.1,-,-,22.2,-,22.5
Other Current Assets,37.9,30.7,30.1,27.2,35,26.1,22.5,19.9,28.3,15.2,29.8,16.5,26.8,21.5,21,17.7,20.8,16.7,16.4,49.2,28.2,29.6,15.1,14.1,17.3,17.1,13.6,-,-,7.3,-,13.6
Total Current Assets,266.4,228.4,251.7,318.4,264.2,279.7,394.9,330.1,308.6,267.2,297.6,315.3,264.3,211.2,268,300.9,281.7,249,307.9,328.6,297.8,270.1,290.2,320.1,374.6,329.6,290.2,-,-,190.8,-,203.1
"Property, Plant & Equipment",48.2,50.9,54.1,61.6,63.6,61.3,63.4,67.2,60.9,64.5,71.1,87,96.8,98.2,110.7,121.4,133.6,32.2,31.7,31.6,33.1,34.7,34.7,34.8,36,35.5,32.8,-,-,33,-,36.5
Goodwill and Intangibles,493.1,489.2,489.4,487.3,484.9,482.4,474,471.3,470.5,470.9,514.7,520.2,523.3,527.2,530.1,531.9,533.7,535,513.2,513.3,525.6,528.4,533.6,534.2,536.7,542.3,550.3,-,-,559.5,-,571.5
Other Long-Term Assets,63.6,59.8,55.6,57.9,58.9,59.9,62.2,62.9,60.1,63,46.9,41.3,50.4,50.3,53.5,54.9,53.4,52.5,60.6,55.7,58.7,60.3,75.2,79.3,77.3,71.5,40.7,-,-,34.3,-,183.1
