Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Cash & Equivalents,268.32,265.54,303.76,201.48,172.37,149.58,200.4,200.9,126.85,82.69,Upgrade
Cash & Cash Equivalents,268.32,265.54,303.76,201.48,172.37,149.58,200.4,200.9,126.85,82.69,Upgrade
Cash Growth,1.05%,-12.58%,50.76%,16.89%,15.23%,-25.36%,-0.25%,58.38%,53.40%,-22.09%,Upgrade
Receivables,0,0,0,0,0,0,0,0,0,8.76,Upgrade
"Property, Plant & Equipment",37.98,40.05,46.27,34.37,19.06,21.66,22.08,22.33,20.65,13.68,Upgrade
Goodwill and Intangibles,215.68,217.37,219.35,168.03,147.65,148.27,149,149.82,150.73,16.83,Upgrade
Total Assets,"9,644.95","8,129.48","7,547.34","6,174.03","5,462.09","5,108.44","4,426.35","4,015.91","3,448.57","1,673.08",Upgrade
Accounts Payable,87.3,38.75,26.18,29.67,27.52,23.1,20.23,21.67,26.04,11.34,Upgrade
Total Liabilities,"8,466.2","7,005.27","6,632.03","5,442.84","4,848.17","4,543.01","3,895.32","3,538.57","3,002.35","1,504.5",Upgrade
Total Debt,"1,022.27",633.56,646.63,645.63,728.56,724.78,530.81,725.93,500.71,151.16,Upgrade
Debt Growth,61.35%,-2.02%,0.16%,-11.38%,0.52%,36.54%,-26.88%,44.98%,231.25%,-,Upgrade
Common Stock,675.2,685.45,580.56,460.56,411.37,409.43,407.42,377.35,374.84,109.21,Upgrade
Retained Earnings,535.92,440.17,331.95,271.78,211.35,160.03,126.46,104.61,72.4,61.91,Upgrade
Comprehensive Income,-32.36,-1.4,2.8,-1.15,-8.79,-4.02,-2.85,-4.61,-1.01,-2.54,Upgrade
Shareholders' Equity,"1,178.75","1,124.21",915.31,731.19,613.93,565.44,531.03,477.34,446.22,168.58,Upgrade
Total Liabilities and Equity,"9,644.95","8,129.48","7,547.34","6,174.03","5,462.09","5,108.44","4,426.35","4,015.91","3,448.57","1,673.08",Upgrade
Net Cash / Debt,-753.96,-368.03,-342.87,-444.14,-556.19,-575.19,-330.42,-525.04,-373.86,-68.46,Upgrade
Net Cash Per Share,-,-,-,-,-,-,-,-17.34,-15.92,-4.18,Upgrade
Book Value Per Share,30.04,28.39,23.02,20.67,19.04,17.66,17.55,15.94,19.38,10.31,Upgrade
