Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Cash & Equivalents,9.16,12.61,20.29,26.3,8.33,33.26,36.46,24.97,31.84,42.6
Cash & Cash Equivalents,9.16,12.61,20.29,26.3,8.33,33.26,36.46,24.97,31.84,42.6
Cash Growth,-27.37%,-37.89%,-22.83%,215.81%,-74.97%,-8.76%,46.01%,-21.57%,-25.27%,-
Receivables,0.84,6.3,2.71,0.82,8,0,0,0,0,22.98
Total Assets,246.39,267.68,296.79,336.95,314.53,296.03,319.96,360.46,308.76,186.94
Accounts Payable,1.5,1.75,1.93,22.92,16.28,14,10.36,10.87,21.59,22
Total Liabilities,152.88,171.33,188.67,193.86,143.01,126.09,157.21,163.51,108.54,99.69
Total Debt,146.82,165.43,182.33,165.53,117.87,101.42,130.97,148.52,85.59,76.5
Debt Growth,-11.25%,-9.27%,10.15%,40.43%,16.22%,-22.56%,-11.82%,73.52%,11.88%,-
Common Stock,203.6,200.67,200.79,198.41,198.71,199.08,199.74,199.43,198.82,87.25
Retained Earnings,-110.1,-104.32,-92.67,-55.33,-27.19,-13.57,-1.74,3.29,-0.64,0
Comprehensive Income,0,0,0,0,0,-15.56,-35.25,-5.77,2.03,0
Shareholders' Equity,93.51,96.36,108.12,143.08,171.52,169.95,162.75,196.95,200.22,87.25
Total Liabilities and Equity,246.39,267.68,296.79,336.95,314.53,296.03,319.96,360.46,308.76,186.94
Net Cash / Debt,-137.66,-152.82,-162.04,-139.23,-109.54,-68.16,-94.51,-123.55,-53.75,-33.9
Net Cash Per Share,-9.62,-10.99,-11.79,-10.21,-8.00,-4.98,-6.91,-9.04,-3.93,-
Book Value Per Share,6.54,6.93,7.87,10.50,12.53,12.42,11.90,14.41,14.65,-
