Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2003
Cash & Equivalents,9.63,67.59,42.98,30.29,30.75,40.91,45.48,34.23,35.81,17.2,Upgrade
Cash & Cash Equivalents,9.63,67.59,42.98,30.29,30.75,40.91,45.48,34.23,35.81,17.2,Upgrade
Cash Growth,-85.75%,57.27%,41.88%,-1.50%,-24.84%,-10.04%,32.87%,-4.42%,108.18%,-12.97%,Upgrade
"Property, Plant & Equipment",8.29,8.74,8.97,9.42,9.42,9.37,8.75,9.14,9.52,9.64,Upgrade
Total Assets,699.91,713.74,686.2,610.87,545.71,518.98,489.17,473.39,487.47,482.17,Upgrade
Total Liabilities,618.73,625.76,600.28,528.03,465.9,440.6,413.14,399.51,415.84,416.9,Upgrade
Total Debt,40.85,25.15,32.93,37.88,27.78,29.95,22.13,24.44,22.37,22.95,Upgrade
Debt Growth,62.45%,-23.64%,-13.07%,36.35%,-7.23%,35.32%,-9.42%,9.26%,-2.57%,-20.32%,Upgrade
Common Stock,16.66,16.41,18.29,19.56,20.53,21.4,21.1,20.11,19.92,19.14,Upgrade
Retained Earnings,74.86,70.59,65.49,61.95,59.15,56.18,53.55,50.92,48.19,45.62,Upgrade
Comprehensive Income,-10.33,0.98,2.15,1.33,0.13,0.79,1.38,2.84,3.52,0.51,Upgrade
Shareholders' Equity,81.18,87.98,85.92,82.84,79.8,78.38,76.03,73.88,71.63,65.27,Upgrade
Total Liabilities and Equity,699.91,713.74,686.2,610.87,545.71,518.98,489.17,473.39,487.47,482.17,Upgrade
Net Cash / Debt,-31.22,42.44,10.04,-7.59,2.97,10.96,23.35,9.79,13.45,-5.75,Upgrade
Net Cash / Debt Growth,-,322.60%,-,-,-72.94%,-53.04%,138.42%,-27.18%,-,-,Upgrade
Book Value Per Share,14.22,15.45,14.74,13.94,13.26,12.85,12.47,12.36,12.06,11.04,Upgrade
