Year,2021,2020,2019,2018,2017,2016,2015
Cash & Equivalents,1.19,4.34,0.83,3.97,11.14,0.16,0
Short-Term Investments,0.31,0.54,0.46,0.01,0,0,0
Cash & Cash Equivalents,1.5,4.88,1.29,3.98,11.14,0.16,0
Cash Growth,-69.29%,277.58%,-67.50%,-64.29%,6807.70%,97652.73%,-
Receivables,0.42,0.56,1.57,0.34,1.2,0,0
Inventory,0.29,0.13,1,1.51,0,0,0
Other Current Assets,3.4,5.32,2.74,5.57,-1.13,0.02,21.51
Total Current Assets,5.6,10.89,6.61,11.4,11.21,0.18,21.51
"Property, Plant & Equipment",6.59,5.1,6.63,0.13,0.01,0,0
Long-Term Investments,0.09,0.47,0.73,0.02,0,0,0
Goodwill and Intangibles,0.96,1.1,0.78,0,1.95,9.87,0
Other Long-Term Assets,6.64,4.74,0.88,0.77,1.2,0,0
Total Long-Term Assets,14.28,11.41,9.02,0.91,3.16,9.87,0
Total Assets,19.88,22.3,15.63,12.31,14.37,10.05,21.51
Accounts Payable,0.01,0.04,0,0,1.09,0.33,0
Current Debt,0.83,0.71,4,0.7,0,0,0
Other Current Liabilities,5.32,16.02,7.13,3.06,0.4,0.09,4.49
Total Current Liabilities,6.17,16.78,11.13,3.75,1.5,0.42,4.49
Long-Term Debt,0.28,0.66,3.03,0.18,0,0,0
Other Long-Term Liabilities,0.05,2.3,0,0,0,0,0
Total Long-Term Liabilities,0.32,2.95,3.03,0.18,0,0,0
Total Liabilities,6.49,19.73,14.16,3.93,1.5,0.42,4.49
Total Debt,1.11,1.37,7.03,0.87,0,0,0
Debt Growth,-19.06%,-80.53%,704.36%,-,-,-,-
Common Stock,42.8,40.76,27.02,23.84,23.61,11.36,11.36
Retained Earnings,-34.6,-34.06,-23.7,-15.03,-10.48,-0.62,-0.03
Comprehensive Income,-0.11,-0.84,-0.51,-0.43,-0.25,-1.11,-0.51
Shareholders' Equity,8.09,5.86,2.8,8.38,12.88,9.63,10.82
Total Liabilities and Equity,14.58,25.59,16.96,12.31,14.37,10.05,15.31
Net Cash / Debt,0.39,3.51,-5.73,3.1,11.14,0.16,0
Net Cash / Debt Growth,-88.84%,-,-,-72.14%,6807.70%,97652.73%,-
Net Cash Per Share,0.07,0.89,-2.05,1.20,5.07,0.08,0.00
Working Capital,-0.57,-5.89,-4.53,7.65,9.72,-0.24,17.02
Book Value Per Share,1.41,1.49,1.00,3.24,5.86,4.76,5.34
