Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Cash & Equivalents,37.78,101.41,52.33,8.32,6.29,13.06,17.14,20.93,13.19,21.57,Upgrade
Short-Term Investments,217.96,157.5,110.04,127.73,117.82,108.83,103.74,60.03,0,0,Upgrade
Cash & Cash Equivalents,255.74,258.91,162.36,136.05,124.11,121.88,120.88,80.96,13.19,21.57,Upgrade
Cash Growth,-1.22%,59.47%,19.34%,9.62%,1.83%,0.83%,49.31%,513.64%,-38.82%,91.30%,Upgrade
Receivables,97.04,89,49.14,26.9,35.86,39.3,43.3,30.03,102.82,109.95,Upgrade
Inventory,741.02,458.02,321.28,292.86,280.12,284.66,245.06,191.5,175.55,162.38,Upgrade
Other Current Assets,87.32,158.3,181.24,213.05,266.9,1.18,9.02,10.14,3.75,6.48,Upgrade
Total Current Assets,"1,181.13",964.23,714.02,668.85,706.98,447.02,418.26,312.63,295.32,300.37,Upgrade
"Property, Plant & Equipment",16.33,14.31,9.9,6.73,8.02,6.61,3.48,2.85,1.68,1.21,Upgrade
Long-Term Investments,70.83,18.47,16.76,11.89,8.39,7.97,8.37,3.15,0.5,0,Upgrade
Goodwill and Intangibles,168.91,194.58,13.86,14.73,15.74,12.95,6.61,7.25,7.64,8.03,Upgrade
Other Long-Term Assets,5.47,0,3.5,3.16,3.87,3.96,0.42,0.78,0,0,Upgrade
Total Long-Term Assets,261.53,227.35,44.02,36.51,36.02,31.48,18.89,14.04,9.82,9.24,Upgrade
Total Assets,"1,442.66","1,191.58",758.04,705.36,743,478.5,437.15,326.66,305.14,309.61,Upgrade
Accounts Payable,6.13,5.94,140.93,62.18,46,41.95,46.77,50.64,77.43,87.03,Upgrade
Deferred Revenue,175.55,194.42,0,0,0,0,0,0,0,0,Upgrade
Current Debt,497.67,386.03,209.68,261.51,313.94,315.84,271.36,186.43,159.81,133.55,Upgrade
Other Current Liabilities,157.39,123.21,206.15,217.25,305.93,46.57,48.47,32.73,18.41,35.22,Upgrade
Total Current Liabilities,836.74,709.59,556.76,540.94,665.87,404.36,366.59,269.79,255.65,255.8,Upgrade
Long-Term Debt,94.07,93.25,92.52,91.86,7.23,0,0,0,0,0,Upgrade
Other Long-Term Liabilities,21.38,24.81,3.86,0,0.8,1.12,7.25,0.91,0.03,0.55,Upgrade
Total Long-Term Liabilities,115.45,118.05,96.38,91.86,8.02,1.12,7.25,0.91,0.03,0.55,Upgrade
Total Liabilities,952.19,827.64,653.14,632.8,673.89,405.48,373.84,270.7,255.68,256.35,Upgrade
Total Debt,591.74,479.28,302.2,353.36,321.17,315.84,271.36,186.43,159.81,133.55,Upgrade
Debt Growth,23.47%,58.60%,-14.48%,10.03%,1.69%,16.39%,45.56%,16.65%,19.66%,25.31%,Upgrade
Common Stock,166.76,150.53,27.36,26.52,24.79,23.6,22.29,22.54,22.39,24.44,Upgrade
Retained Earnings,321.85,212.09,73.64,43.14,40.91,45.99,41.02,33.42,27.07,28.81,Upgrade
Shareholders' Equity,488.61,362.62,101,69.66,65.7,69.59,63.31,55.96,49.46,53.25,Upgrade
Total Liabilities and Equity,"1,440.8","1,190.26",754.15,702.45,739.59,475.07,437.15,326.66,305.14,309.61,Upgrade
Net Cash / Debt,-336,-220.37,-139.84,-217.32,-197.06,-193.96,-150.48,-105.47,-146.62,-111.99,Upgrade
Net Cash Per Share,-13.81,-12.28,-9.87,-15.34,-14.01,-13.62,-10.57,-7.47,-9.66,-7.13,Upgrade
Working Capital,344.39,254.64,157.26,127.91,41.11,42.66,51.67,42.84,39.67,44.57,Upgrade
Book Value Per Share,21.43,21.73,7.18,4.95,4.67,4.95,4.53,4.02,3.28,3.42,Upgrade
