Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Cash & Equivalents,27.25,156.26,112.58,92.44,65.08,105.53,121.28,113.93,83.5,54.22,Upgrade
Cash & Cash Equivalents,27.25,156.26,112.58,92.44,65.08,105.53,121.28,113.93,83.5,54.22,Upgrade
Cash Growth,-82.56%,38.80%,21.78%,42.05%,-38.33%,-12.99%,6.45%,36.44%,54.00%,-12.47%,Upgrade
"Property, Plant & Equipment",46.58,41.72,22.19,14.74,13.6,13.79,12.6,11.87,10.81,10.44,Upgrade
Total Assets,"1,023.89","1,105.15",956.6,827.88,818.08,853.38,831.94,817.19,789.23,751.34,Upgrade
Total Liabilities,955.85,"1,001.42",848.91,729.55,729.02,766.48,749.77,737.24,713.43,686.86,Upgrade
Total Debt,2.55,3.45,2.39,1.07,2.3,5.88,6.58,10.17,16.9,15.58,Upgrade
Debt Growth,-26.02%,44.15%,123.76%,-53.52%,-60.85%,-10.75%,-35.26%,-39.83%,8.46%,-68.78%,Upgrade
Common Stock,-7.64,-7.14,-5.53,-5.53,-2.82,-2.83,-2.83,-2.83,-2.84,-2.84,Upgrade
Retained Earnings,116.6,109.97,105.62,101.8,95.64,90.3,85.72,80.85,76.19,71.88,Upgrade
Comprehensive Income,-40.92,0.89,7.6,2.06,-3.76,-0.57,-0.71,1.94,2.44,-4.55,Upgrade
Shareholders' Equity,68.04,103.73,107.69,98.33,89.06,86.91,82.18,79.95,75.8,64.49,Upgrade
Total Liabilities and Equity,"1,023.89","1,105.15",956.6,827.88,818.08,853.38,831.94,817.19,789.23,751.34,Upgrade
Net Cash / Debt,24.7,152.81,110.18,91.37,62.78,99.65,114.69,103.76,66.61,38.64,Upgrade
Net Cash / Debt Growth,-83.83%,38.69%,20.58%,45.56%,-37.01%,-13.11%,10.54%,55.79%,72.36%,220.87%,Upgrade
Net Cash Per Share,7.04,43.10,30.90,25.51,17.23,27.35,31.48,28.48,18.28,10.61,Upgrade
Book Value Per Share,19.38,29.26,30.20,27.45,24.44,23.85,22.55,21.94,20.80,17.70,Upgrade
