Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Cash & Equivalents,84.64,100.87,146.2,30.57,27.95,26.31,24.24,17.96,53.1,17.94,Upgrade
Short-Term Investments,156.8,126.01,89.86,69.73,54.56,37.59,29.57,25.29,22.37,16.09,Upgrade
Cash & Cash Equivalents,241.44,226.88,236.06,100.3,82.51,63.9,53.81,43.24,75.47,34.03,Upgrade
Cash Growth,6.42%,-3.89%,135.35%,21.56%,29.13%,18.75%,24.43%,-42.70%,121.79%,126.20%,Upgrade
Receivables,232.44,165.22,99.07,54.41,31.57,20.37,10.12,8.2,7.89,7.77,Upgrade
Other Current Assets,-4.78,-1.14,1.9,4.11,3.9,2.3,1.46,2.19,1.3,-2.07,Upgrade
Total Current Assets,469.1,390.95,337.03,158.82,117.98,86.56,65.39,53.63,84.66,39.73,Upgrade
"Property, Plant & Equipment",90.7,77.95,72.6,70.37,69.8,7.87,8.46,9.72,7.86,3.12,Upgrade
Long-Term Investments,7.84,7.06,5.57,4.32,3.55,3.24,2.85,2.69,0.94,0.83,Upgrade
Goodwill and Intangibles,66.01,55.37,60.18,7.73,8.07,4.97,4.91,4.85,4.85,4.91,Upgrade
Other Long-Term Assets,37.98,31.25,22.88,15.95,8.11,3.22,0.73,0.02,0,3.05,Upgrade
Total Long-Term Assets,202.53,171.63,161.22,98.38,89.53,19.3,16.96,17.28,13.65,11.92,Upgrade
Total Assets,671.63,562.58,498.25,257.2,207.51,105.86,82.35,70.92,98.31,51.65,Upgrade
Accounts Payable,9.47,8.95,6.06,4.09,2.77,2.72,2.01,1.94,3.36,2.4,Upgrade
Deferred Revenue,202.69,146.91,92.55,52.55,33.03,22.73,13.46,11.04,9.35,8.47,Upgrade
Current Debt,1.1,0,0,0,0,0,0,0,0,0.9,Upgrade
Other Current Liabilities,76.35,67.83,51.79,34.99,27.41,20.42,14.94,10.63,9.84,14.25,Upgrade
Total Current Liabilities,289.62,223.7,150.4,91.63,63.2,45.87,30.41,23.62,22.54,26.02,Upgrade
Long-Term Debt,68.35,0,0,26.09,12.86,9.32,4.77,0,14.9,25.2,Upgrade
Other Long-Term Liabilities,8.36,6.69,7.91,2.73,2.27,2.24,2.46,1.94,1.59,1.71,Upgrade
Total Long-Term Liabilities,76.71,6.69,7.91,28.82,15.13,11.56,7.22,1.94,16.49,26.91,Upgrade
Total Liabilities,366.33,230.38,158.31,120.44,78.34,57.43,37.63,25.56,39.03,52.93,Upgrade
Total Debt,69.46,0,0,26.09,12.86,9.32,4.77,0,14.9,26.1,Upgrade
Debt Growth,-,-,-,102.81%,37.95%,95.59%,-,-,-42.91%,163.63%,Upgrade
Common Stock,483.16,456.01,428.23,222.03,213.64,131.31,126.37,120.24,116.44,3.17,Upgrade
Retained Earnings,-171.56,-126.89,-91.36,-85.52,-83.71,-82.78,-81.28,-74.39,-57.18,-36,Upgrade
Comprehensive Income,-6.3,3.08,3.07,0.25,-0.75,-0.09,-0.38,-0.5,0.01,-0.16,Upgrade
Shareholders' Equity,305.3,332.2,339.94,136.76,129.17,48.43,44.72,45.36,59.28,-33,Upgrade
Total Liabilities and Equity,671.63,562.58,498.25,257.2,207.51,105.86,82.35,70.92,98.31,19.93,Upgrade
Net Cash / Debt,171.98,226.88,236.06,74.21,69.65,54.57,49.04,43.24,60.57,7.93,Upgrade
Net Cash / Debt Growth,-24.20%,-3.89%,218.08%,6.55%,27.63%,11.28%,13.40%,-28.60%,663.99%,54.15%,Upgrade
Net Cash Per Share,4.22,5.65,6.58,2.14,2.18,1.84,1.72,1.56,4.68,6.04,Upgrade
Working Capital,179.48,167.26,186.63,67.2,54.77,40.69,34.98,30.02,62.11,13.71,Upgrade
Book Value Per Share,7.49,8.28,9.48,3.95,4.04,1.64,1.57,1.64,4.58,-25.15,Upgrade
