Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Cash & Equivalents,6.79,39.06,49.94,62.32,39.3,31.22,36.28,34.11,55.11,101.62,Upgrade
Cash & Cash Equivalents,6.79,39.06,49.94,62.32,39.3,31.22,36.28,34.11,55.11,101.62,Upgrade
Cash Growth,-82.61%,-21.80%,-19.86%,58.60%,25.86%,-13.95%,6.38%,-38.11%,-45.77%,233.55%,Upgrade
Receivables,1.58,1.61,2.29,1.75,3.78,3.07,5.92,5.65,3.63,4.56,Upgrade
Total Assets,214.71,242.22,328,427.34,493.17,534.6,584.42,632.82,539.86,476.43,Upgrade
Accounts Payable,2.63,12.39,5.56,6.67,5.65,5.49,9.65,5.15,3.39,2.84,Upgrade
Total Liabilities,119.71,135.19,219.05,279.22,302.52,312.71,333.83,364.02,299.03,207.76,Upgrade
Total Debt,117.08,122.8,213.49,272.55,296.87,299.12,321.44,358.87,295.64,202.2,Upgrade
Debt Growth,-4.66%,-42.48%,-21.67%,-8.19%,-0.75%,-6.95%,-10.43%,21.39%,46.21%,14.11%,Upgrade
Common Stock,191.07,188.87,229.51,238.05,241.92,241.19,240.34,239.26,188.54,188.54,Upgrade
Retained Earnings,-96.06,-81.84,-120.56,-89.94,-51.27,-19.3,-14.91,7.27,13.12,16.71,Upgrade
Comprehensive Income,0,0,0,0,0,0,25.15,22.27,39.18,63.42,Upgrade
Shareholders' Equity,95.01,107.03,108.95,148.11,190.64,221.89,250.58,268.8,240.84,268.67,Upgrade
Total Liabilities and Equity,214.71,242.22,328,427.34,493.17,534.6,584.42,632.82,539.86,476.43,Upgrade
Net Cash / Debt,-110.28,-83.75,-163.55,-210.23,-257.58,-267.9,-285.16,-324.76,-240.53,-100.58,Upgrade
Net Cash Per Share,-40.68,-30.89,-60.37,-78.26,-96.63,-101.07,-108.16,-128.11,-111.23,-46.51,Upgrade
Book Value Per Share,35.04,39.48,40.21,55.14,71.52,83.71,95.04,106.03,111.37,124.25,Upgrade
