Year,2022,2021,2020,2019,2018,2017
Cash & Equivalents,136.27,89.71,81.62,105.34,112.35,57.15
Short-Term Investments,13.71,14.5,10.58,7.28,0.33,0.04
Cash & Cash Equivalents,149.99,104.21,92.2,112.62,112.69,57.19
Cash Growth,43.94%,13.03%,-18.13%,-0.06%,97.06%,-
Receivables,20.08,9.02,8.89,9.68,8.76,7.31
Other Current Assets,17.14,20.95,22.23,10.56,5.31,4.04
Total Current Assets,187.21,134.17,123.32,132.85,126.76,68.53
"Property, Plant & Equipment",30.5,30.48,34.88,7.07,7.04,7.07
Goodwill and Intangibles,"1,271.81","1,216.66","1,063.42","1,049.04","1,013.48","1,022.14"
Other Long-Term Assets,13.42,2.09,1.97,0,0,0
Total Long-Term Assets,"1,315.73","1,249.23","1,100.27","1,056.11","1,020.52","1,029.21"
Total Assets,"1,502.93","1,383.41","1,223.59","1,188.96","1,147.28","1,097.74"
Accounts Payable,4.62,2.61,2.2,0.97,0.73,5.33
Current Debt,0,0,0,0,2.31,0
Other Current Liabilities,69.2,56.25,43.69,40.61,46.2,43.11
Total Current Liabilities,73.82,58.86,45.89,41.58,49.24,48.44
Long-Term Debt,140.06,143.32,106.82,121.69,242.82,0
Other Long-Term Liabilities,162.68,171.84,165.8,166.83,156.21,163.34
Total Long-Term Liabilities,302.74,315.16,272.62,288.52,399.03,163.34
Total Liabilities,376.56,374.02,318.52,330.1,448.26,211.78
Total Debt,140.06,143.32,106.82,121.69,245.12,0
Debt Growth,-2.27%,34.17%,-12.22%,-50.35%,-,-
Common Stock,943.02,929.14,850.5,796.48,635.16,784.53
Retained Earnings,183.5,80.24,54.57,62.38,63.85,101.42
Comprehensive Income,-0.16,0,0,0,0,0.01
Shareholders' Equity,"1,126.37","1,009.39",905.07,858.86,699.01,885.96
Total Liabilities and Equity,"1,502.93","1,383.41","1,223.59","1,188.96","1,147.28","1,097.74"
Net Cash / Debt,9.93,-39.11,-14.62,-9.08,-132.44,57.19
Net Cash Per Share,0.13,-0.54,-0.22,-0.14,-2.00,0.86
Working Capital,113.39,75.31,77.43,91.28,77.52,20.09
Book Value Per Share,15.28,13.99,13.44,12.95,10.57,13.39
