Year,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011 - 1995
Cash & Equivalents,167.29,196.21,132.21,136.98,91.27,61.08,58.43,42.84,51.01,29.93,Upgrade
Cash & Cash Equivalents,167.29,196.21,132.21,136.98,91.27,61.08,58.43,42.84,51.01,29.93,Upgrade
Cash Growth,-14.74%,48.41%,-3.48%,50.09%,49.42%,4.54%,36.40%,-16.02%,70.43%,141.11%,Upgrade
Receivables,82.59,64.72,65.77,71.34,64.94,62.84,59.75,57.54,57.23,49.11,Upgrade
Other Current Assets,15.12,8.01,11.01,7.18,7.11,4.94,4.93,11.68,12.72,13.87,Upgrade
Total Current Assets,264.99,268.94,208.99,215.49,163.32,128.87,123.11,112.05,120.96,92.9,Upgrade
"Property, Plant & Equipment",111.29,115.94,166.57,61.98,69.36,63.04,53.27,56.3,51.25,46.58,Upgrade
Goodwill and Intangibles,38.48,38.92,39.35,39.79,40.23,40.67,41.1,41.55,42.01,42.48,Upgrade
Other Long-Term Assets,0.48,0.96,1.35,0.76,1.1,2.81,2.79,1.68,0.26,0.42,Upgrade
Total Long-Term Assets,150.25,155.82,207.27,102.53,110.69,106.52,97.16,99.53,93.52,89.48,Upgrade
Total Assets,415.25,424.76,416.26,318.02,274,235.38,220.27,211.57,214.48,182.38,Upgrade
Accounts Payable,14.43,13.57,16.36,11.48,13.45,16.58,13.23,15.77,18.47,13.59,Upgrade
Other Current Liabilities,156.94,148.89,117.33,105.44,84.54,73.47,67.18,58.32,53.38,39.17,Upgrade
Total Current Liabilities,171.37,162.46,133.69,116.92,97.99,90.05,80.42,74.09,71.84,52.76,Upgrade
Long-Term Debt,29.79,41.9,85.1,0,0,0,0,0,0,0,Upgrade
Other Long-Term Liabilities,1.69,0,7.76,6.29,4.84,6.69,7.91,9.56,16.12,18.23,Upgrade
Total Long-Term Liabilities,31.48,41.9,92.86,6.29,4.84,6.69,7.91,9.56,16.12,18.23,Upgrade
Total Liabilities,202.85,204.36,226.55,123.21,102.83,96.74,88.32,83.65,87.96,70.98,Upgrade
Total Debt,29.79,41.9,85.1,0,0,0,0,0,0,0,Upgrade
Debt Growth,-28.89%,-50.76%,-,-,-,-,-,-,-,-,Upgrade
Common Stock,-452.91,-378.49,-362.83,-310.36,-287.28,-284.12,-261.34,-236.84,-209.65,-190.37,Upgrade
Retained Earnings,665.3,598.89,552.54,505.16,458.46,422.76,393.28,364.76,336.17,301.78,Upgrade
Shareholders' Equity,212.4,220.4,189.71,194.81,171.18,138.65,131.95,127.92,126.52,111.4,Upgrade
Total Liabilities and Equity,415.25,424.76,416.26,318.02,274,235.38,220.27,211.57,214.48,182.38,Upgrade
Net Cash / Debt,137.49,154.32,47.12,136.98,91.27,61.08,58.43,42.84,51.01,29.93,Upgrade
Net Cash / Debt Growth,-10.90%,227.51%,-65.60%,50.09%,49.42%,4.54%,36.40%,-16.02%,70.43%,141.11%,Upgrade
Net Cash Per Share,7.58,8.49,2.53,7.21,4.79,3.12,2.92,2.05,2.39,1.33,Upgrade
Working Capital,93.62,106.48,75.3,98.57,65.33,38.82,42.69,37.96,49.12,40.15,Upgrade
Book Value Per Share,11.96,12.29,10.35,10.37,9.09,7.14,6.66,6.19,6.00,5.00,Upgrade
