Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Cash & Equivalents,3.01,15.54,12.13,28.51,3.67,23.58,43.05,47.96,53.64,15.01,Upgrade
Cash & Cash Equivalents,3.01,15.54,12.13,28.51,3.67,23.58,43.05,47.96,53.64,15.01,Upgrade
Cash Growth,-80.63%,28.11%,-57.45%,677.66%,-84.45%,-45.23%,-10.24%,-10.59%,257.43%,171.62%,Upgrade
Receivables,9.27,3.85,0,0,0,21.75,7.02,2.52,2.45,3.81,Upgrade
"Property, Plant & Equipment",0,0,0,0,0,0.21,0.25,0.23,0.24,0.04,Upgrade
Goodwill and Intangibles,0,0,0,0,0,0,0,0.01,0,0,Upgrade
Total Assets,49.48,40.83,34.71,63.45,169.8,114.44,90.85,82.08,74.23,23.18,Upgrade
Accounts Payable,0.72,0.5,0.46,0.4,2.76,7.81,7.79,5.55,4.58,3.73,Upgrade
Total Liabilities,12.18,6.82,0.51,0.54,107.05,67.64,44.49,34.58,24.32,15.3,Upgrade
Common Stock,72.4,68.41,58.39,63.25,62.84,46.06,45.81,46.96,47.64,8.75,Upgrade
Retained Earnings,-35.1,-34.4,-24.19,-0.34,0.64,0.91,0.62,0.61,2.28,-0.87,Upgrade
Comprehensive Income,0,0,0,0,-0.73,-0.17,-0.07,-0.06,-0,0,Upgrade
Shareholders' Equity,37.3,34.01,34.19,62.92,62.75,46.8,46.36,47.51,49.91,7.88,Upgrade
Total Liabilities and Equity,49.48,40.83,34.71,63.45,169.8,114.44,90.85,82.08,74.23,23.18,Upgrade
Net Cash / Debt,3.01,15.54,12.13,28.51,3.67,23.58,43.05,47.96,53.64,15.01,Upgrade
Net Cash / Debt Growth,-80.63%,28.11%,-57.45%,677.66%,-84.45%,-45.23%,-10.24%,-10.59%,257.43%,171.62%,Upgrade
Net Cash Per Share,0.37,2.98,2.11,4.74,0.61,3.95,7.12,7.63,12.04,15.01,Upgrade
Book Value Per Share,4.64,6.52,5.95,10.45,10.48,7.85,7.67,7.56,11.21,7.88,Upgrade
