Year,2022,2021,2020,2019,2018,2017
Cash & Equivalents,230.47,227.74,142.02,71.07,8,3.22
Cash & Cash Equivalents,230.47,227.74,142.02,71.07,8,3.22
Cash Growth,1.20%,60.35%,99.83%,788.94%,148.20%,-
Receivables,532.11,342.51,155.52,58.84,29.5,4.75
Other Current Assets,9.82,8.15,4.45,3.02,1.1,0.56
Total Current Assets,772.4,578.39,301.99,132.93,38.59,8.53
"Property, Plant & Equipment",121.87,99.12,11.02,3.32,2.15,1.08
Goodwill and Intangibles,"2,521.98","2,173.21","1,205.82",256.92,95.51,34.92
Other Long-Term Assets,45.94,25.59,11.08,5.6,3.58,0.45
Total Long-Term Assets,"2,689.78","2,297.91","1,227.93",265.84,101.23,36.45
Total Assets,"3,462.18","2,876.31","1,529.91",398.77,139.83,44.98
Accounts Payable,525.22,351.88,159.84,58.01,27.15,3.81
Deferred Revenue,0,0,0,0,0,2.96
Current Debt,1.53,61.5,0,0,0.53,0.52
Other Current Liabilities,172.46,127.31,57.58,14.81,5.55,5.03
Total Current Liabilities,699.21,540.69,217.42,72.83,33.23,12.32
Long-Term Debt,"1,402.55",920.97,381.38,40.36,72.24,23.85
Other Long-Term Liabilities,220.38,227.09,161.14,48.31,11.56,2.75
Total Long-Term Liabilities,"1,622.94","1,148.06",542.53,88.67,83.8,26.6
Total Liabilities,"2,322.14","1,688.75",759.95,161.49,117.02,38.92
Total Debt,"1,404.08",982.47,381.38,40.36,72.77,24.37
Debt Growth,42.91%,157.61%,844.88%,-44.53%,198.58%,-
Common Stock,704.87,663.38,392.13,81.94,-63.7,0
Retained Earnings,-96.76,-54.99,-24.35,-8.65,0,-40.47
Shareholders' Equity,608.1,608.38,367.78,73.29,-63.7,-40.47
Total Liabilities and Equity,"2,930.25","2,297.13","1,127.73",234.78,53.33,-1.54
Net Cash / Debt,"-1,173.61",-754.73,-239.36,30.71,-64.77,-21.15
Net Cash Per Share,-20.65,-15.86,-8.81,1.71,-,-
Working Capital,73.19,37.7,84.57,60.1,5.37,-3.79
Book Value Per Share,10.70,12.78,13.53,4.09,-1.07,-
