Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1998
Cash & Equivalents,6.16,42.86,3.01,11.16,20.23,30.56,32.18,47.29,58.73,7.66,Upgrade
Short-Term Investments,0,1.03,1.21,1.8,0,-,-,-,0,0,Upgrade
Cash & Cash Equivalents,6.16,43.9,4.22,12.96,20.23,30.56,32.18,47.29,58.73,7.66,Upgrade
Cash Growth,-85.98%,940.71%,-67.45%,-35.93%,-33.81%,-5.05%,-31.94%,-19.48%,666.28%,-70.04%,Upgrade
Receivables,3.09,1.8,1.91,2.55,2.2,1.64,1.05,1.13,94.4,29.81,Upgrade
Other Current Assets,1.11,1.73,0.54,0.78,0.14,-,-,-,-82.06,-28.45,Upgrade
Total Current Assets,10.36,47.43,6.67,16.3,22.56,-,-,-,71.07,9.03,Upgrade
"Property, Plant & Equipment",5.84,5.78,5.21,1.29,0.03,0,0,0,0,0,Upgrade
Long-Term Investments,237.85,188.58,211.2,176.85,169.92,-,-,-,13.89,13.54,Upgrade
Goodwill and Intangibles,16.59,18.37,21.86,33.52,0,0,0,0,0,0,Upgrade
Other Long-Term Assets,28.97,22.51,28.97,26.42,23.16,-,-,-,103.26,39,Upgrade
Total Long-Term Assets,289.26,235.24,267.23,238.08,193.1,-,-,-,117.15,52.54,Upgrade
Total Assets,299.62,282.67,273.9,254.37,215.66,209.88,208.93,180.49,188.22,61.58,Upgrade
Accounts Payable,15.1,13.62,20.55,17.56,2.58,1.84,0.68,0.79,0.86,0.36,Upgrade
Current Debt,2.45,0.01,11.76,0,0,-,-,-,0,0,Upgrade
Other Current Liabilities,-11.2,-8.53,-16.9,-14.5,0,-,-,-,-0,0,Upgrade
Total Current Liabilities,6.35,5.1,15.41,3.06,2.58,-,-,-,0.86,0.36,Upgrade
Long-Term Debt,0,0,0,0,0,-,-,-,0,5,Upgrade
Other Long-Term Liabilities,13.35,10.33,17.98,14.78,0.02,-,-,-,0.42,0.3,Upgrade
Total Long-Term Liabilities,13.35,10.33,17.98,14.78,0.02,-,-,-,0.42,5.3,Upgrade
Total Liabilities,19.69,15.43,33.39,17.84,2.61,1.93,0.87,1.05,1.29,5.66,Upgrade
Total Debt,2.45,0.01,11.76,0,0,0,0,0,0,5,Upgrade
Debt Growth,30462.50%,-99.93%,-,-,-,-,-,-,-,-,Upgrade
Common Stock,"4,430.93","4,431.73","4,430.94","4,432.16","4,432.51","4,433.6","4,433.3","4,432.94","4,432.5","4,321.5",Upgrade
Retained Earnings,"-4,151.01","-4,164.5","-4,190.43","-4,195.63","-4,219.46","-4,225.86","-4,228.91","-4,257.8","-4,250.43","-4,271.19",Upgrade
Comprehensive Income,0,0,0,0,0,0.21,-0.09,0,0,0,Upgrade
Shareholders' Equity,279.93,267.24,240.51,236.53,213.06,207.95,204.31,175.14,182.07,50.3,Upgrade
Total Liabilities and Equity,299.62,282.67,273.9,254.37,215.66,209.88,205.18,176.19,183.35,55.96,Upgrade
Net Cash / Debt,3.71,43.89,-7.54,12.96,20.23,30.56,32.18,47.29,58.73,2.66,Upgrade
Net Cash / Debt Growth,-91.54%,-,-,-35.93%,-33.81%,-5.05%,-31.94%,-19.48%,2104.50%,-89.59%,Upgrade
Net Cash Per Share,0.29,3.42,-0.59,1.00,1.55,2.34,2.47,3.64,9.05,0.64,Upgrade
Working Capital,4.02,42.33,-8.74,13.24,19.98,-,-,-,70.2,8.67,Upgrade
Book Value Per Share,21.81,20.88,18.71,18.33,16.32,15.95,15.70,13.49,28.07,12.17,Upgrade
