Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Cash & Equivalents,80.68,197.23,183.51,104.09,60.16,57.81,75.17,60.87,65.81,68.15,Upgrade
Cash & Cash Equivalents,80.68,197.23,183.51,104.09,60.16,57.81,75.17,60.87,65.81,68.15,Upgrade
Cash Growth,-59.09%,7.48%,76.29%,73.04%,4.05%,-23.09%,23.48%,-7.50%,-3.43%,-4.07%,Upgrade
"Property, Plant & Equipment",41.61,43.03,32.06,32.48,28.83,27.64,27.97,26.45,24.96,24.88,Upgrade
Goodwill and Intangibles,54.59,60.3,18.26,19.53,0.76,0.04,0.08,0.12,0.15,0.19,Upgrade
Total Assets,"2,936.57","2,691.72","1,763.97","1,515.31","1,251.88","1,232.76","1,210.44","1,174.15","1,146.9","1,148.55",Upgrade
Total Liabilities,"2,706.3","2,474.01","1,619.49","1,384.81","1,156.19","1,142.43","1,117.05","1,078.69","1,047.87","1,058.6",Upgrade
Total Debt,203.35,88.45,167.08,85.79,68.23,71.73,70.23,64.23,64.23,64.23,Upgrade
Debt Growth,129.91%,-47.06%,94.75%,25.74%,-4.88%,2.14%,9.34%,-,-,8.44%,Upgrade
Common Stock,185.14,124.7,52.71,53.17,34.42,37.58,46.94,55.61,65.58,65.58,Upgrade
Retained Earnings,111.57,99.19,84.99,76.98,69.46,59.23,51.47,44.29,38.29,33.44,Upgrade
Comprehensive Income,-66.44,-6.18,6.78,0.36,-8.19,-6.49,-5.02,-4.43,-4.84,-9.08,Upgrade
Shareholders' Equity,230.27,217.71,144.49,130.51,95.69,90.32,93.39,95.46,99.03,89.95,Upgrade
Total Liabilities and Equity,"2,936.57","2,691.72","1,763.97","1,515.31","1,251.88","1,232.76","1,210.44","1,174.15","1,146.9","1,148.55",Upgrade
Net Cash / Debt,-122.67,108.78,16.43,18.3,-8.07,-13.92,4.94,-3.36,1.58,3.92,Upgrade
Net Cash / Debt Growth,-,562.31%,-10.25%,-,-,-,-,-,-59.62%,-66.83%,Upgrade
Net Cash Per Share,-7.14,9.67,1.73,2.00,-0.95,-1.61,0.58,-0.40,0.19,0.46,Upgrade
Book Value Per Share,13.39,19.34,15.21,14.29,11.34,10.70,11.07,11.31,11.73,10.66,Upgrade
