Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Cash & Equivalents,168.35,295.42,323.28,150.74,137.91,116.41,44.73,43.41,26.83,19.27
Cash & Cash Equivalents,168.35,295.42,323.28,150.74,137.91,116.41,44.73,43.41,26.83,19.27
Cash Growth,-43.01%,-8.62%,114.46%,9.31%,18.47%,160.26%,3.05%,61.77%,39.25%,-
"Property, Plant & Equipment",63.18,58.16,58.59,29.28,15.11,8.78,9.28,9.23,2.18,2.77
Goodwill and Intangibles,102.59,72.1,63.6,55.19,57.37,8.83,9.1,5.93,0,0
Total Assets,"5,990.46","4,726.38","4,160.36","2,273.84","2,094.9","1,321.26","1,105.84","1,076.09",684.5,684.18
Total Liabilities,"5,409.98","4,293.01","3,750.4","1,988.74","1,834.84","1,141.32",992.28,963.64,605.66,612.26
Total Debt,560.12,187.59,105.99,185.99,92.23,80.5,53.65,54.58,15,15
Debt Growth,198.59%,76.99%,-43.01%,101.66%,14.57%,50.06%,-1.71%,263.86%,-,-
Common Stock,490.73,312.67,320.16,225.78,225.55,154.4,92.05,92.95,62.54,62.06
Retained Earnings,163.96,121.87,79.17,56.7,37.98,27.18,23.84,20.29,16.95,12.92
Comprehensive Income,-74.2,-1.18,10.63,2.61,-3.47,-1.64,-2.33,-0.79,-0.64,-3.05
Shareholders' Equity,580.48,433.37,409.96,285.1,260.06,179.94,113.56,112.45,78.85,71.92
Total Liabilities and Equity,"5,990.46","4,726.38","4,160.36","2,273.84","2,094.9","1,321.26","1,105.84","1,076.09",684.5,684.18
Net Cash / Debt,-391.78,107.83,217.29,-35.25,45.68,35.91,-8.92,-11.17,11.83,4.27
Net Cash / Debt Growth,-,-50.38%,-,-,27.20%,-,-,-,177.16%,-
Book Value Per Share,23.12,21.25,19.84,21.47,22.55,17.59,16.13,15.98,14.84,-
