Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Cash & Equivalents,114.86,303.01,141.32,0.69,2.55,14.95,5,2.56,5.08,3.61,Upgrade
Short-Term Investments,121.84,319.14,2.27,0,0,0,0,0,0,0.01,Upgrade
Cash & Cash Equivalents,236.7,622.16,143.59,0.69,2.55,14.95,5,2.56,5.08,3.62,Upgrade
Cash Growth,-61.96%,333.27%,20587.74%,-72.79%,-82.93%,199.07%,95.62%,-49.73%,40.54%,52.81%,Upgrade
Receivables,0.02,26.93,74.77,0,0,0.01,0.1,0.14,0.22,0.27,Upgrade
Other Current Assets,40.83,35.15,68.05,0.8,0.46,0.09,0.43,2.09,2.38,0.75,Upgrade
Total Current Assets,277.55,684.24,286.41,1.49,3.02,15.05,5.52,4.78,7.68,4.64,Upgrade
"Property, Plant & Equipment",274.3,276.24,17.42,4.05,1.03,0.01,0.03,0.06,0.05,0.01,Upgrade
Long-Term Investments,105.88,3,0,0,0,0,0,0,0,0,Upgrade
Goodwill and Intangibles,0,0.93,1,1.07,1.14,0,12.54,29.94,48.26,8.3,Upgrade
Other Long-Term Assets,537.52,479.92,8.42,0,0,0,0.2,12.45,4.79,0,Upgrade
Total Long-Term Assets,917.7,760.1,26.84,5.13,2.18,0.01,12.77,42.45,53.1,8.32,Upgrade
Total Assets,"1,195.24","1,444.33",313.25,6.62,5.19,15.06,18.29,47.23,60.79,12.96,Upgrade
Accounts Payable,2.48,7.77,1,1.75,1.24,1.96,7.22,6.53,3.29,0.75,Upgrade
Current Debt,0.33,0,0.12,0.09,1,1.76,13.16,10.38,16.56,0,Upgrade
Other Current Liabilities,23.31,3.48,0.32,0.01,0.04,3.94,0.08,0.03,2.09,0,Upgrade
Total Current Liabilities,26.12,11.25,1.44,1.85,2.27,7.67,20.46,16.95,21.95,0.75,Upgrade
Long-Term Debt,783.19,728.41,0.06,1.12,0,0,4.67,12.22,5.4,0,Upgrade
Other Long-Term Liabilities,0,22.58,0,0,0,0,2.44,5.38,9.18,0.03,Upgrade
Total Long-Term Liabilities,783.19,750.98,0.06,1.12,0,0,7.11,17.6,14.59,0.03,Upgrade
Total Liabilities,809.3,762.23,1.51,2.97,2.27,7.67,27.58,34.55,36.53,0.79,Upgrade
Total Debt,783.51,728.41,0.18,1.21,1,1.76,17.83,22.61,21.96,0,Upgrade
Debt Growth,7.57%,395566.39%,-84.75%,20.86%,-43.36%,-90.11%,-21.12%,2.93%,-,-,Upgrade
Common Stock,"1,226.28",835.7,428.25,109.71,105.46,97.11,49.88,43.22,36.98,22.67,Upgrade
Retained Earnings,-840.34,-153.6,-116.06,-105.61,-102.09,-89.28,-57.94,-29.28,-12.34,-10.49,Upgrade
Comprehensive Income,0,0,-0.45,-0.45,-0.45,-0.45,-1.06,-1.27,-0.39,-0.01,Upgrade
Shareholders' Equity,385.94,682.1,311.74,3.65,2.92,7.39,-9.12,12.68,24.25,12.18,Upgrade
Total Liabilities and Equity,"1,195.24","1,444.33",313.25,6.62,5.19,15.06,18.45,47.23,60.79,12.97,Upgrade
Net Cash / Debt,-546.82,-106.25,143.41,-0.51,1.55,13.18,-12.83,-20.05,-16.88,3.62,Upgrade
Net Cash / Debt Growth,-,-,-,-,-88.23%,-,-,-,-,52.81%,Upgrade
Net Cash Per Share,-4.82,-1.07,1.76,-0.08,0.29,8.09,-13.53,-22.58,-23.16,6.28,Upgrade
Working Capital,251.43,672.99,284.97,-0.36,0.74,7.38,-14.94,-12.17,-14.26,3.88,Upgrade
Book Value Per Share,3.40,6.87,3.83,0.55,0.55,4.53,-9.62,14.27,33.28,21.16,Upgrade
