Year,2022,2021,2020,2019,2018,2017
Cash & Equivalents,80.42,183.4,146.91,114.82,34.72,52.31
Cash & Cash Equivalents,80.42,183.4,146.91,114.82,34.72,52.31
Cash Growth,-56.15%,24.83%,27.94%,230.69%,-33.62%,-
"Property, Plant & Equipment",3.39,3.28,4.46,6.09,2.98,2.6
Total Assets,"2,123.66","2,055.3","1,876.59","1,427.61","1,105.06","1,026.01"
Total Liabilities,"1,899.64","1,857.4","1,717.28","1,294.28",990.49,945.89
Total Debt,119.06,34.06,36.02,47.65,22.73,30.62
Debt Growth,249.54%,-5.43%,-24.41%,109.66%,-25.79%,-
Common Stock,58.33,54.45,50.74,51.7,49.46,27.17
Retained Earnings,182.44,144.53,106.85,81.62,65.7,53.2
Comprehensive Income,-16.75,-1.08,1.72,0.01,-0.6,-0.25
Shareholders' Equity,224.02,197.9,159.31,133.33,114.56,80.12
Total Liabilities and Equity,"2,123.66","2,055.3","1,876.59","1,427.61","1,105.06","1,026.01"
Net Cash / Debt,-38.65,149.33,110.89,67.18,12,21.69
Net Cash / Debt Growth,-,34.66%,65.07%,459.92%,-44.68%,-
Net Cash Per Share,-2.69,10.60,8.04,4.81,0.96,1.90
Book Value Per Share,15.97,14.34,11.55,9.71,9.46,7.12
