Year,2022,2021,2020,2019,2018,2017,2016
Cash & Equivalents,34.01,42.4,0.41,0.02,0.6,5.46,7.38
Short-Term Investments,28.21,44.87,6.29,0,0,0,0
Cash & Cash Equivalents,62.22,87.27,6.7,0.02,0.6,5.46,7.38
Cash Growth,-28.70%,1202.69%,41800.52%,-97.34%,-89.00%,-26.05%,-
Receivables,0,0,0,0,0,0.26,0.04
Other Current Assets,2.17,3.05,2.02,0.54,5.06,4.34,0.49
Total Current Assets,64.4,90.32,8.72,0.56,5.66,10.06,7.91
"Property, Plant & Equipment",22.61,32.49,29.85,0,0,0.08,0.09
Long-Term Investments,1.79,1,0,0,0,0,0
Other Long-Term Assets,11.63,49.87,1.32,3.96,6.82,2.77,1.1
Total Long-Term Assets,36.03,83.36,31.17,3.96,6.82,2.86,1.19
Total Assets,100.42,173.68,39.89,4.52,12.48,12.91,9.1
Accounts Payable,3.63,2.61,1.7,0.12,0,0,0
Deferred Revenue,0,0,0,0,0,0,0.01
Other Current Liabilities,3.81,2.44,0.19,0.31,0.4,0.47,0.27
Total Current Liabilities,7.44,5.04,1.89,0.43,0.4,0.47,0.28
Other Long-Term Liabilities,3.04,3.23,0,0,0,0,0
Total Long-Term Liabilities,3.04,3.23,0,0,0,0,0
Total Liabilities,10.49,8.27,1.89,0.43,0.4,0.47,0.28
Common Stock,221.35,191.52,53.7,17.72,15.96,12.4,8.01
Retained Earnings,-131.42,-26.12,-15.7,-13.79,-4.32,-0.89,0.05
Comprehensive Income,0,0,0,-0.1,-0.03,0.33,-0.2
Shareholders' Equity,89.93,165.4,38,3.83,11.61,11.84,7.86
Total Liabilities and Equity,100.42,173.68,39.89,4.26,12.01,12.31,8.14
Net Cash / Debt,62.22,87.27,6.7,0.02,0.6,5.46,7.38
Net Cash / Debt Growth,-28.70%,1202.69%,41800.52%,-97.34%,-89.00%,-26.05%,-
Net Cash Per Share,0.79,1.57,0.22,0.00,0.04,0.80,283.80
Working Capital,56.95,85.27,6.83,0.13,5.26,9.59,7.63
Book Value Per Share,1.14,2.98,1.24,0.25,0.81,1.74,302.30
