Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2001
Cash & Equivalents,172.1,155.2,196.1,146.8,145.5,190,157.2,164.5,250.6,318.8,Upgrade
Cash & Cash Equivalents,172.1,155.2,196.1,146.8,145.5,190,157.2,164.5,250.6,318.8,Upgrade
Cash Growth,10.89%,-20.86%,33.58%,0.89%,-23.42%,20.87%,-4.44%,-34.36%,-21.39%,-88.12%,Upgrade
"Property, Plant & Equipment",177,186.5,203.2,226.1,193.9,214.9,201,199.7,165.6,134.8,Upgrade
Goodwill and Intangibles,442.2,442.2,442.2,442.2,442.2,442.2,442.2,442.2,442.5,435.2,Upgrade
Total Assets,"4,505.2","4,476.5","4,674.1","4,185","4,296.1","4,772.5","4,597.4","4,505.2","4,628.3","4,786.9",Upgrade
Accounts Payable,159.7,160,216.8,206.4,213.5,255.5,164.5,183.5,202.1,185.5,Upgrade
Total Liabilities,"4,651","4,661.5","4,911.1","4,425.4","4,564.9","5,017.8","4,813","4,728","4,811","4,863.9",Upgrade
Total Debt,830.8,843,916.9,904.5,901,908.1,915.2,942.6,949.6,842.9,Upgrade
Debt Growth,-1.45%,-8.06%,1.37%,0.39%,-0.78%,-0.78%,-2.91%,-0.74%,12.66%,4.07%,Upgrade
Common Stock,"1,398.3","1,391.2","1,296.7","1,283.2","1,202.3","1,153.8","1,093.1","1,052.7","1,029","1,170.4",Upgrade
Retained Earnings,"-1,479.2","-1,513.4","-1,475.3","-1,460.1","-1,403.6","-1,336.1","-1,252.6","-1,226.8","-1,144.6","-1,214.4",Upgrade
Comprehensive Income,-64.9,-62.8,-58.4,-63.5,-67.5,-63,-56.1,-48.7,-67.1,-33,Upgrade
Shareholders' Equity,-145.8,-185,-237,-240.4,-268.8,-245.3,-215.6,-222.8,-182.7,-77,Upgrade
Total Liabilities and Equity,"4,505.2","4,476.5","4,674.1","4,185","4,296.1","4,772.5","4,597.4","4,505.2","4,628.3","4,786.9",Upgrade
Net Cash / Debt,-658.7,-687.8,-720.8,-757.7,-755.5,-718.1,-758,-778.1,-699,-524.1,Upgrade
Net Cash Per Share,-6.58,-7.67,-9.26,-10.66,-11.75,-11.42,-11.50,-12.53,-10.67,-7.29,Upgrade
Book Value Per Share,-1.51,-2.06,-3.05,-3.38,-4.18,-3.90,-3.46,-3.59,-2.80,-1.07,Upgrade
