Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2002
Cash & Equivalents,102.68,57.11,56.91,67.1,86.55,52.54,77.52,113.56,103.24,81.29,Upgrade
Cash & Cash Equivalents,102.68,57.11,56.91,67.1,86.55,52.54,77.52,113.56,103.24,81.29,Upgrade
Cash Growth,79.80%,0.35%,-15.19%,-22.47%,64.73%,-32.22%,-31.74%,10.00%,27.00%,-5.02%,Upgrade
"Property, Plant & Equipment",12.03,6.6,7.81,9.46,3.28,3.16,3.77,3.95,3.94,1.16,Upgrade
Goodwill and Intangibles,12.16,12.27,12.02,11.92,12.05,12.65,12.77,12.49,11.94,0,Upgrade
Total Assets,"2,976.61","2,652.91","2,567.84","2,096.78","1,966.46","1,794.07","1,780.7","1,782.08","1,629.39","1,268.66",Upgrade
Total Liabilities,"2,715.97","2,420.48","2,361.68","1,902.62","1,785.75","1,624.79","1,619.05","1,631.25","1,491.64","1,159.38",Upgrade
Total Debt,466.98,418.93,435.62,336.97,308.98,217.92,69.68,44.73,44.31,22.25,Upgrade
Debt Growth,11.47%,-3.83%,29.27%,9.06%,41.79%,212.74%,55.78%,0.95%,99.13%,-2.06%,Upgrade
Common Stock,72.44,63.86,66.66,66.4,72.08,71.61,70.86,70.33,69.64,52.47,Upgrade
Retained Earnings,203.51,170.02,140.43,129.11,110.31,98.91,91.32,80.58,67.89,57.14,Upgrade
Comprehensive Income,-15.31,-1.46,-0.93,-1.35,-1.68,-1.24,-0.52,-0.08,0.22,-0.34,Upgrade
Shareholders' Equity,260.64,232.42,206.16,194.16,180.71,169.28,161.65,150.83,137.75,109.28,Upgrade
Total Liabilities and Equity,"2,976.61","2,652.91","2,567.84","2,096.78","1,966.46","1,794.07","1,780.7","1,782.08","1,629.39","1,268.66",Upgrade
Net Cash / Debt,-364.3,-361.82,-378.71,-269.87,-222.43,-165.38,7.84,68.83,58.93,59.04,Upgrade
Net Cash / Debt Growth,-,-,-,-,-,-,-88.61%,16.81%,-0.18%,-6.09%,Upgrade
Book Value Per Share,30.91,27.70,24.20,22.60,20.55,19.32,18.57,17.34,17.34,13.87,Upgrade
