Year,2022,2021,2020,2019,2018,2017,2016,2015
Cash & Equivalents,257.42,"2,359.35",864.31,389.22,232.95,261.23,82.93,65.65
Cash & Cash Equivalents,257.42,"2,359.35",864.31,389.22,232.95,261.23,82.93,65.65
Cash Growth,-89.09%,172.98%,122.06%,67.08%,-10.83%,215.00%,26.33%,-
Receivables,85.61,39.86,27.26,11.58,13.74,16.18,12.99,1.62
"Property, Plant & Equipment",0,0,13.48,12.1,6.88,6.27,5.04,4.64
Goodwill and Intangibles,0,0,9.73,9.73,9.73,9.73,9.73,9.73
Total Assets,"6,267.34","7,116.36","4,330.82","3,357.57","2,182.64","1,759.86","1,220.3",964.79
Accounts Payable,0,0,61.65,23.56,18.44,21.68,10.9,5.48
Total Liabilities,"5,691.44","6,559.37","3,990.03","3,058.45","1,918.13","1,522.97","1,110.81",888.84
Total Debt,278.35,77.79,82.24,232.19,230.17,87.31,78.42,116.77
Debt Growth,257.80%,-5.41%,-64.58%,0.88%,163.63%,11.34%,-32.84%,-
Common Stock,389.39,383.11,218.98,216.55,213.58,211.23,96.16,63.83
Retained Earnings,240.81,181.39,120.83,81.36,51.42,25.86,13.49,12.11
Comprehensive Income,-54.3,-7.5,0.97,1.21,-0.47,-0.21,-0.17,0.02
Shareholders' Equity,575.9,556.99,340.79,299.12,264.52,236.88,109.49,75.95
Total Liabilities and Equity,"6,267.34","7,116.36","4,330.82","3,357.57","2,182.64","1,759.86","1,220.3",964.79
Net Cash / Debt,-20.93,"2,281.56",782.06,157.03,2.79,173.92,4.51,-51.12
Net Cash / Debt Growth,-,191.74%,398.04%,5538.31%,-98.40%,3753.84%,-,-
Book Value Per Share,52.68,52.33,41.10,35.95,32.23,28.89,14.16,-
