Year,2022,2021,2020,2019,2018,2017
Cash & Equivalents,51.68,49.81,44.11,54.75,34.64,156.12
Short-Term Investments,3.35,6.13,9.48,17.5,30.78,81.78
Cash & Cash Equivalents,55.03,55.94,53.58,72.24,65.41,237.9
Cash Growth,-1.63%,4.40%,-25.83%,10.44%,-72.50%,-
Receivables,10.97,13.18,21.58,8.68,6.33,13.78
Other Current Assets,10.97,8.41,10.14,14.42,9.64,24.52
Total Current Assets,76.96,77.53,85.31,95.34,81.38,276.2
"Property, Plant & Equipment",12.5,16.48,16.61,16.23,16.39,5.3
Long-Term Investments,73.57,68.77,82.47,55.6,72.1,81.22
Goodwill and Intangibles,197.76,189.21,175.12,133.23,127.88,40.48
Other Long-Term Assets,22.95,13.89,17.85,24.55,23.5,6.66
Total Long-Term Assets,306.79,288.35,292.04,229.6,239.87,133.65
Total Assets,383.75,365.87,377.35,324.94,321.25,409.85
Accounts Payable,23.05,25.11,44.89,30.53,39.05,26.48
Current Debt,0,0,0,3.83,0,9.9
Other Current Liabilities,2.71,3.01,2.35,0.81,0.63,28.17
Total Current Liabilities,25.75,28.12,47.24,35.17,39.68,64.55
Long-Term Debt,54.44,29.77,16.99,11.49,0,0
Other Long-Term Liabilities,26.29,16.77,22.13,6.66,8.06,1.43
Total Long-Term Liabilities,80.73,46.54,39.12,18.15,8.06,1.43
Total Liabilities,106.48,74.65,86.37,53.31,47.74,65.99
Total Debt,54.44,29.77,16.99,15.32,0,9.9
Debt Growth,82.86%,75.17%,10.96%,-,-,-
Common Stock,462.19,452.78,461.07,451.06,450.74,432.46
Retained Earnings,-105.31,-97.01,-104.48,-108.22,-95.42,-118.27
Comprehensive Income,-79.62,-64.56,-65.6,-71.21,-81.81,29.67
Shareholders' Equity,277.27,291.22,290.98,271.63,273.51,343.86
Total Liabilities and Equity,383.75,365.87,377.35,324.94,321.25,409.85
Net Cash / Debt,0.59,26.17,36.59,56.93,65.41,228
Net Cash / Debt Growth,-97.75%,-28.47%,-35.73%,-12.97%,-71.31%,-
Working Capital,51.21,49.41,38.07,60.18,41.7,211.64
Book Value Per Share,11.08,11.33,11.88,10.71,10.79,-
