Year,2022,2021,2020,2019,2018
Cash & Equivalents,0.7,30.84,6.92,6.97,7.63
Short-Term Investments,33.68,0,0,0,0
Cash & Cash Equivalents,34.37,30.84,6.92,6.97,7.63
Cash Growth,11.45%,345.49%,-0.62%,-8.66%,-
Receivables,0.05,0.32,1.25,0.17,0.71
Other Current Assets,0.43,0.47,1.39,0.95,0.12
Total Current Assets,34.86,31.63,9.56,8.09,8.45
"Property, Plant & Equipment",0.15,0.77,0.33,0.14,0.02
Long-Term Investments,0,7.5,0,0,0.23
Goodwill and Intangibles,0,0.15,0.16,0.17,0.02
Other Long-Term Assets,0.02,0.3,0.01,0.01,0.02
Total Long-Term Assets,0.17,8.72,0.5,0.32,0.29
Total Assets,35.03,40.35,10.06,8.41,8.74
Accounts Payable,0.13,0,0.24,0.21,0.38
Current Debt,0.09,0.42,0.19,0.08,0.37
Other Current Liabilities,1.28,0.69,0.86,0.51,0.52
Total Current Liabilities,1.49,1.12,1.29,0.79,1.27
Long-Term Debt,0.05,0.24,0.13,0.04,0
Total Long-Term Liabilities,0.05,0.24,0.13,0.04,0
Total Liabilities,1.55,1.36,1.42,0.83,1.27
Total Debt,0.15,0.66,0.32,0.12,0.37
Debt Growth,-77.98%,105.32%,173.50%,-68.48%,-
Common Stock,42.9,39.99,7.87,7.82,7.73
Retained Earnings,-5.8,-1.09,0.88,0.3,0.22
Comprehensive Income,-3.62,0.1,-0.12,-0.54,-0.47
Shareholders' Equity,33.48,38.99,8.64,7.58,7.47
Total Liabilities and Equity,35.03,40.35,10.06,8.41,8.74
Net Cash / Debt,34.23,30.18,6.6,6.85,7.25
Net Cash / Debt Growth,13.41%,357.20%,-3.61%,-5.59%,-
Net Cash Per Share,13.20,17.53,6.60,6.85,7.25
Working Capital,33.36,30.51,8.27,7.3,7.19
Book Value Per Share,12.91,22.64,8.64,7.58,7.47
