Year,2022,2021,2020,2019,2018,2017
Cash & Equivalents,1.89,5.83,0.78,6.62,0.07,0.14
Short-Term Investments,0.03,1.03,2.21,0,2.75,0.01
Cash & Cash Equivalents,1.92,6.86,2.99,6.62,2.82,0.16
Cash Growth,-71.94%,129.67%,-54.86%,134.33%,1716.98%,-
Receivables,0.76,2.3,0,1.47,0.15,0.01
Other Current Assets,3.31,0.69,2.25,2.5,0.72,1.07
Total Current Assets,5.99,9.85,5.24,10.59,3.7,1.23
"Property, Plant & Equipment",1.66,1.32,1.23,0.05,0.05,0.04
Long-Term Investments,0.34,0,0,1.28,0,0
Goodwill and Intangibles,0.15,0.23,0.33,0.43,0,0
Other Long-Term Assets,0,0,38.99,0,0,0
Total Long-Term Assets,2.14,1.55,40.55,1.76,0.05,0.04
Total Assets,8.14,11.4,45.79,12.34,3.75,1.27
Accounts Payable,0,0,0,0,0.03,0.58
Deferred Revenue,0.09,0.37,0.51,0.42,0.55,1.01
Current Debt,0.43,0.38,0.43,0,0,0
Other Current Liabilities,2.27,0.57,6.84,0.73,1.15,0.25
Total Current Liabilities,2.8,1.33,7.78,1.14,1.73,1.85
Long-Term Debt,0.99,0.39,0.2,0,0,0
Other Long-Term Liabilities,0,0,3.18,0,0,0
Total Long-Term Liabilities,0.99,0.39,3.38,0,0,0
Total Liabilities,3.78,1.71,11.17,1.14,1.73,1.85
Total Debt,1.42,0.77,0.64,0,0,0
Debt Growth,84.29%,20.79%,-,-,-,-
Common Stock,29.86,31.79,30.96,9.89,1.03,0.06
Retained Earnings,-25.14,-22.06,-13.49,1.39,1.04,-0.69
Comprehensive Income,0,-0.18,-0.06,-0.08,-0.06,0.06
Shareholders' Equity,4.72,9.56,17.4,11.2,2.01,-0.57
Total Liabilities and Equity,8.51,11.28,28.57,12.34,3.75,1.27
Net Cash / Debt,0.51,6.09,2.35,6.62,2.82,0.16
Net Cash / Debt Growth,-91.69%,159.21%,-64.49%,134.33%,1716.98%,-
Net Cash Per Share,0.05,0.64,0.30,0.93,0.40,0.02
Working Capital,3.19,8.52,-2.55,9.45,1.97,-0.61
Book Value Per Share,0.50,1.01,2.19,1.58,0.29,-0.08
