Year,2022,2021,2020,2019,2018,2017
Cash & Equivalents,141.59,338.83,282.61,95.11,29.69,7.6
Cash & Cash Equivalents,141.59,338.83,282.61,95.11,29.69,7.6
Cash Growth,-58.21%,19.89%,197.14%,220.30%,290.88%,-
"Property, Plant & Equipment",21.47,23.87,21.25,20.17,10.05,4.02
Goodwill and Intangibles,11.12,11.64,12.24,12.76,6.31,0
Total Assets,"1,574.61","1,644.98","1,514.22","1,252.16",739.42,379.48
Total Liabilities,"1,435.28","1,503.61","1,377.53","1,121.29",673.43,343.67
Total Debt,92.1,57.73,106,111.67,56.99,29.99
Debt Growth,59.53%,-45.53%,-5.08%,95.94%,90.00%,-
Common Stock,88.85,88.57,87.38,87.62,29.57,33.76
Retained Earnings,62.85,51.31,45.67,41.79,37.15,2.81
Comprehensive Income,-13.08,0.32,2.3,0.74,-0.73,-0.77
Shareholders' Equity,138.62,140.19,135.35,130.14,65.99,35.81
Total Liabilities and Equity,"1,573.91","1,643.8","1,512.88","1,251.43",739.42,379.48
Net Cash / Debt,49.49,281.1,176.61,-16.56,-27.3,-22.4
Net Cash / Debt Growth,-82.39%,59.16%,-,-,-,-
Book Value Per Share,7.72,7.85,7.60,13.03,6.61,-
