Year,2022,2021,2020,2019
Cash & Equivalents,16.66,11.8,2.05,0.16
Short-Term Investments,0.37,80.76,4.64,1.04
Cash & Cash Equivalents,17.03,92.56,6.69,1.2
Cash Growth,-81.60%,1283.79%,456.35%,-
Receivables,5.64,63.36,6.29,6.24
Other Current Assets,0,0,-4.12,-4.15
Total Current Assets,22.67,155.92,8.86,3.29
"Property, Plant & Equipment",64.29,111.95,17.9,15.4
Long-Term Investments,2.72,14.22,1.39,1.4
Goodwill and Intangibles,1.74,5.6,0.37,0.48
Other Long-Term Assets,0,0,4.12,4.15
Total Long-Term Assets,68.75,131.78,23.78,21.44
Total Assets,91.42,287.7,32.64,24.73
Accounts Payable,8.31,15.25,0.94,3.99
Current Debt,9.63,23.4,3.47,0
Other Current Liabilities,2.2,16.04,0,0
Total Current Liabilities,20.13,54.68,4.41,3.99
Long-Term Debt,0.45,0.37,3.91,0
Other Long-Term Liabilities,39.3,30.84,0,0
Total Long-Term Liabilities,39.75,31.21,3.91,0
Total Liabilities,59.88,85.89,8.32,3.99
Total Debt,10.08,23.77,7.38,0
Debt Growth,-57.61%,222.06%,-,-
Common Stock,151.03,141.95,1.92,25.55
Retained Earnings,-141.39,52.84,21.97,-4.99
Comprehensive Income,1.77,7.02,0.44,0.18
Shareholders' Equity,11.4,201.81,24.33,20.74
Total Liabilities and Equity,71.28,287.7,32.64,24.73
Net Cash / Debt,6.95,68.79,-0.69,1.2
Net Cash / Debt Growth,-89.89%,-,-,-
Net Cash Per Share,-,-,-0.00,0.00
Working Capital,2.54,101.24,4.46,-0.7
Book Value Per Share,0.02,0.44,0.08,0.07
